Constellation, Average Colinearity, Same Constellations Accross Cultures 
CON arabic_al-sufi Del,2.069067987035749, 1
CON romanian Rar,2.069005365087237, 1
CON chinese 214,2.068565927665686, 1
CON western_hlad Mic,2.0634835017420823, 1
CON korean 215,2.06062670475401, 1
CON western Pav,2.0574754278598424, 3
CON chinese 017,2.057456881754052, 1
CON arabic_al-sufi Lup,2.05466053159399, 1
CON western_SnT Crt,2.053141242050564, 1
CON arabic_al-sufi Cyg,2.05287725134455, 1
CON arabic_al-sufi CMa,2.0512601579505083, 1
CON western_rey SerCd,2.051257858630502, 1
CON boorong Yur,2.049593228730595, 1
CON chinese 263,2.044153119882631, 1
CON northern_andes 002,2.0421161022912058, 1
CON korean 158,2.040934189052027, 2
CON western Pup,2.036974045803562, 2
CON arabic_ancient 4799,2.034376516816555, 1
CON arabic_ancient 2008,2.0324476161881533, 1
CON western_rey Aur,2.0306251667806077, 1
CON western Lyr,2.030624233696827, 5
CON western_hlad Ori,2.0263770339554528, 1
CON western Dor,2.0262561677648203, 2
CON arabic_arabian_peninsula 4299,2.0260226937579366, 1
CON western_hlad Cha,2.025830282496617, 1
CON korean 053,2.0251732472724733, 1
CON western_SnT Ara,2.0239281972921126, 1
CON chinese 192,2.0204421375985806, 1
CON korean 063,2.0182040254622287, 2
CON chinese 027,2.015524514364252, 1
CON western_rey Ser,2.014026542273424, 1
CON western Leo,2.012616920121676, 2
CON western_hlad Leo,2.012616920121676, 2
CON western_SnT Scl,2.004975990447833, 1
CON korean 040,2.003457866895758, 2
CON korean 008,2.003116512408459, 2
CON chinese 241,2.0027392168996463, 1
CON chinese 266,2.0026164215823705, 1
CON western_rey Del,2.002332092662355, 1
CON western_rey Tuc,2.0015693530482888, 1
CON korean 167,2.0009719286011913, 1
CON chinese 284,2.0007336035275975, 1
CON western_SnT Cha,2.0001181079754238, 1
CON western_rey Cha,1.999792322197369, 1
CON arabic_al-sufi Crt,1.9982304771383175, 1
CON western_rey Ara,1.9968047631521628, 1
CON tupi 004,1.9959865806148984, 1
CON western_rey SerCp,1.9937185515331983, 1
CON western_rey Mus,1.9927673613643972, 1
CON korean 165,1.9854996418620363, 1
CON western_hlad Lib,1.9845134847985932, 1
CON boorong Wjl,1.9820826098553237, 1
CON ruelle Crt,1.9797353972519351, 1
CON chinese 103,1.978576873716051, 1
CON korean 146,1.978140574690677, 1
CON anutan 011,1.9774235934651927, 1
CON korean 184,1.9761990834604268, 1
CON korean 066,1.974668458018472, 1
CON chinese 037,1.9727986218829023, 1
#CON indian N13,1.971422982642535, 2
CON korean 080,1.9701985135859839, 2
CON western_rey Cas,1.9683589838548146, 1
CON chinese 132,1.9654595576202611, 1
CON chinese 157,1.960361163953727, 1
CON chinese 315,1.9600241653187371, 1
CON chinese 297,1.959123646765494, 1
CON korean 054,1.9571718079516078, 1
CON western Cam,1.956216227289954, 2
CON western_rey Ind,1.9557569241427237, 1
CON arabic_ancient 4699,1.9549506758079975, 1
CON western_SnT Lup,1.9548824863371903, 1
CON korean 238,1.9543240490190974, 1
CON ruelle Cer,1.9517610193665698, 1
CON western_rey Cam,1.9484485464596744, 1
CON egyptian 006,1.9480193013914626, 1
CON western_rey Hyi,1.947099632752334, 1
CON chinese 249,1.9431573369638775, 1
CON chinese 147,1.9427771815854376, 1
CON western Crt,1.9403058061220058, 3
CON ruelle Per,1.93874238046265, 1
CON chinese 015,1.9386691164706042, 1
CON sardinian 001,1.9361761093199015, 1
CON arabic_arabian_peninsula 3199,1.9355958717140926, 3
CON ruelle Vul,1.9353854416406697, 1
CON western Ara,1.9350218916505355, 2
CON ruelle Sgr,1.9342341161541399, 1
CON arabic_ancient 1901,1.933465862050836, 2
CON chinese 313,1.9324469654084515, 1
CON western_SnT Cep,1.9298806087680913, 1
CON korean 081,1.929032022867509, 2
CON ruelle Ara,1.926769019534313, 1
CON arabic_ancient 2599,1.9164011398924876, 1
CON chinese 128,1.9041481502183006, 1
CON western LMi,1.9027344182957269, 2
CON chinese 265,1.8963646071097486, 1
CON korean 130,1.893719243688261, 2
CON northern_andes 005,1.8931914087026573, 1
CON western_hlad Cep,1.8920885495813693, 1
CON western Cep,1.8919327725636523, 2
CON arabic_al-sufi Aql,1.8890849344437888, 1
CON ruelle Crv,1.8869591525849967, 2
CON korean 037,1.8866485361036875, 1
CON western_hlad Equ,1.8860332283300996, 1
CON arabic_arabian_peninsula 3005,1.8858816758688832, 3
CON chinese 240,1.8856834629738632, 1
CON korean 235,1.8856327707445384, 1
CON ruelle CrB,1.8854719141512875, 1
CON tupi 007,1.8853870500887642, 1
CON chinese 309,1.8849185073744954, 1
CON chinese 167,1.8838729282440791, 1
CON korean 257,1.8776623074239196, 1
CON western_hlad Car,1.8769346281649146, 1
CON korean 061,1.87512462585189, 1
CON ruelle And,1.8736282297456168, 1
CON western_hlad Ant,1.8724445598860129, 2
CON macedonian 019,1.8721822939669317, 1
CON western_SnT CMa,1.8710491985824573, 1
CON korean 189,1.8692363092529247, 1
CON japanese_moon_stations 27,1.869022494176684, 1
CON korean 064,1.868553887169849, 1
CON chinese 233,1.8683862989751923, 1
CON arabic_ancient 4999,1.8669106627719756, 1
CON hawaiian_starlines KHK,1.8665382011503393, 1
CON sardinian 004,1.8652115277219434, 2
CON western_rey DraF,1.8649264168130948, 1
CON ruelle CarPupVel,1.8607605466847588, 1
CON anutan 007,1.8583650177706488, 1
CON bugis 005,1.854717676083912, 1
CON western Sct,1.8493659663922515, 2
CON ruelle Lep,1.847098071104937, 1
CON korean 208,1.8423302211252781, 2
CON indian N09,1.8355144627180033, 1
CON chinese 016,1.8346205939159177, 1
CON tukano 008,1.8346007148435755, 1
CON ruelle PsA,1.8338287679809324, 1
#CON arabic_arabian_peninsula 300,1.8280110419254108, 10
CON korean 106,1.8273653919297161, 1
CON western_SnT Mus,1.824496622197848, 1
CON korean 261,1.8151441573662286, 1
CON korean 187,1.8095671686965353, 1
CON korean 110,1.8087406578215866, 1
CON korean 154,1.80827806748626, 2
CON korean 111,1.8056106139592427, 1
CON romanian Cma,1.8011239677028275, 1
CON northern_andes 001,1.798078047626169, 1
CON egyptian 002,1.7928043489800738, 1
CON navajo 005,1.792354320583261, 3
CON western Lib,1.791707040994476, 2
CON chinese 244,1.7836188219848539, 1
CON korean 241,1.7816992198098616, 1
CON hawaiian_starlines KAO,1.7803900715941154, 1
CON macedonian 015,1.7729662793948846, 1
CON chinese 038,1.771838968591462, 1
CON chinese 127,1.7713567619254933, 1
CON western_rey Equ,1.7639551405959464, 2
CON indian N05,1.763896069548535, 1
CON korean 084,1.7567362015310768, 1
CON korean 007,1.755610463053694, 2
CON western_SnT Sex,1.7520121854677937, 1
CON western_SnT Lyr,1.751447170649436, 1
CON japanese_moon_stations 08,1.7475076693790481, 1
CON western_SnT Ind,1.747244756644422, 1
CON ruelle Tuc,1.7463596576273912, 1
CON korean 024,1.746170088999072, 1
CON korean 259,1.7440448350205706, 1
CON northern_andes 003,1.7377771447606924, 1
CON ruelle Cnc,1.737297911701103, 1
CON korean 151,1.7365208720624863, 2
CON chinese 051,1.7358708512136867, 1
CON northern_andes 004,1.7278200402148451, 1
CON arabic_ancient 4599,1.723320387927598, 1
CON chinese 208,1.7229846797833315, 1
CON western_rey Col,1.722411250188541, 1
CON korean 216,1.721386403259685, 1
CON western_hlad Oct,1.7121045880822996, 1
CON chinese 089,1.7087111032831988, 1
CON ruelle Mon,1.7083709802665135, 1
CON chinese 067,1.7082970543735458, 1
CON korean 018,1.7076279740870826, 2
CON western_hlad Scl,1.702591371595414, 1
CON western_hlad Phe,1.7009857856956914, 1
CON chinese 271,1.6951531922344625, 1
CON chinese 190,1.694885650086447, 1
CON romanian Ccp,1.6945589513449115, 1
CON indian N03,1.6934773868418533, 1
CON arabic_al-sufi Ara,1.6892631644090381, 1
CON chinese 007,1.6851559263721216, 1
CON korean 260,1.6752390807304458, 1
CON korean 245,1.673131946914422, 1
CON chinese 111,1.6667075937631375, 1
CON western Hyi,1.6626633819130057, 2
CON western_SnT Tel,1.6488795106039136, 1
CON ruelle Mus,1.6398530481658622, 1
CON chinese 142,1.6356215912278116, 1
CON anutan 010,1.6282628774091277, 1
CON western_SnT Vol,1.6216350910423336, 1
CON western Com,1.6127570068103063, 5
CON western_rey Com,1.6127570068103063, 1
CON western_SnT Com,1.6127570068103063, 1
CON chinese 292,1.6084334650419172, 1
CON korean 152,1.6016038823229115, 2
CON ruelle Pav,1.5976438345194317, 1
CON ruelle Cam,1.5926394644242905, 1
CON western Vol,1.5907666202952266, 2
CON western_rey Vol,1.5907666202952266, 1
CON western_rey GSq,1.5865900952460872, 2
CON chinese 053,1.5837054301010671, 1
CON western_rey Aps,1.5817502749766206, 1
CON chinese 139,1.579640979809227, 1
CON western Hor,1.5794984172059179, 2
CON arabic_ancient 2299,1.5773888181147822, 1
CON romanian Cat,1.5771872835516692, 1
CON japanese_moon_stations 03,1.5750099812814646, 1
CON egyptian 024,1.574794684736045, 1
CON egyptian 027,1.574042020319661, 1
CON arabic_ancient 2005,1.573633383547339, 1
CON egyptian 015,1.5730861278993538, 1
CON egyptian 025,1.5729615383196807, 1
CON hawaiian_starlines MEE,1.5728400954498292, 4
CON western_rey TrA,1.572573465571128, 2
CON chinese 237,1.572436573962352, 1
CON ruelle Lup,1.5723960714330127, 1
CON arabic_ancient 3001,1.5719353226491428, 3
CON arabic_ancient 0799,1.5719023310239941, 2
CON western_rey DraH,1.571898644038865, 1
CON korean 258,1.5718335039563534, 1
CON tukano 010,1.5717651887069302, 2
CON arabic_ancient 4499,1.571732830449557, 1
CON western_hlad Nor,1.5716941744724968, 3
CON ruelle Lyr,1.5715998018224089, 1
CON western_rey Sct,1.5715862347908547, 2
CON korean 175,1.5715630971449461, 1
CON chinese 246,1.5715478955071236, 1
CON arabic_ancient 3002,1.5714016592676436, 2
CON korean 176,1.571398857232087, 2
CON chinese 219,1.5713934684110378, 1
CON arabic_ancient 4399,1.5713607394665812, 1
CON western Ret,1.5713375274333963, 5
CON western Equ,1.5713173454201017, 4
CON arabic_al-sufi Tri,1.5712986605264094, 1
CON korean 140,1.5712484266430398, 1
CON japanese_moon_stations 10,1.571148308133848, 1
CON korean 213,1.5710516152056884, 1
CON korean 162,1.5709332864349377, 1
CON arabic_ancient 2399,1.5709200004581065, 1
CON chinese 086,1.5708766644032228, 1
CON egyptian 028,1.5708650030965088, 1
CON japanese_moon_stations 18,1.570808015128426, 1
CON western_hlad Mus,1.5675677878804413, 1
CON chinese 225,1.5609316510949562, 1
CON western_hlad Pup,1.559691477187387, 1
CON chinese 088,1.5513302325283025, 1
CON ruelle Phe,1.5333232641001562, 1
CON western_SnT Phe,1.5332631032306316, 1
CON chinese 145,1.5231941743001431, 1
CON korean 230,1.5126327666442663, 1
CON macedonian 003,1.495668095938396, 1
CON chinese 098,1.4900390076620789, 1
CON korean 015,1.4897180503679954, 1
CON macedonian 013,1.483740072772287, 1
CON chinese 318,1.4588391964833836, 1
CON korean 076,1.4582777047573134, 1
CON western Nor,1.4495252518180304, 2
CON korean 240,1.4467351511064885, 1
CON indian N16,1.4406687595916448, 1
CON western_SnT Hyi,1.4085007290567964, 1
CON hawaiian_starlines NAV,1.3966435757167002, 1
CON chinese 154,1.3915591384723314, 1
CON western_rey Phe,1.376383998436058, 1
CON chinese 173,1.3681957824034026, 1
CON korean 128,1.3563166452230666, 1
CON ruelle Cap,1.346842565437273, 1
CON chinese 296,1.3337909793926164, 1
CON chinese 191,1.317303362701214, 1
CON western_hlad Aps,1.300556459292793, 2
CON chinese 256,1.2968585697089776, 1
CON western Phe,1.2916162636800168, 2
CON chinese 261,1.285064349743268, 1
CON western Mus,1.2829423644300784, 2
CON romanian C3i,1.2672503987379462, 1
CON korean 180,1.265142559201073, 1
CON korean 135,1.2589337416106405, 1
CON korean 101,1.2351289910907446, 1
CON chinese 153,1.2165488086442522, 1
CON korean 052,1.206706075093008, 3
CON indian N28,1.174745516349966, 1
CON arabic_arabian_peninsula 3499,1.1569904751521316, 3
CON chinese 295,1.1041227845652046, 1
CON mongolian 004,1.089648666850491, 1
CON western_hlad Hyi,1.0569314889582708, 2
CON egyptian 023,1.0552180413016552, 1
CON western Scl,1.0531869932411295, 2
CON western Oct,1.0503098000162188, 4
CON western Ind,1.0500187995465218, 2
CON ruelle Gru,1.0500176592500623, 1
CON western Tra,1.049544885526225, 5
CON japanese_moon_stations 12,1.0495365269003987, 1
CON western_rey Pic,1.0488397623926604, 1
CON arabic_ancient 0899,1.0485766971111692, 1
CON korean 160,1.0485613063263222, 1
CON inuit 005,1.0483476208378617, 1
CON egyptian 008,1.0481424603924798, 1
CON korean 023,1.0481249361734537, 1
CON ruelle Col,1.0479946528386277, 1
CON ruelle Sct,1.0479911435906997, 1
CON western Tri,1.047840134545755, 6
CON korean 182,1.0478003197877246, 1
CON korean 217,1.0476459533121654, 1
CON korean 113,1.0476403121439872, 1
CON arabic_arabian_peninsula 2603,1.0473329476386497, 6
CON korean 218,1.0473258334409083, 1
CON korean 209,1.047308908831481, 1
CON chinese 308,1.0472719370063486, 1
CON arabic_arabian_peninsula 4201,1.047209946475417, 3
CON korean 172,1.047209946475417, 2
CON korean 134,1.0402615228776042, 1
CON chinese 071,1.010812294669663, 1
CON chinese 074,0.9810395983042941, 1
CON korean 031,0.9600608961895807, 1
CON chinese 180,0.919453256393158, 1
CON korean 127,0.836921357781825, 1
CON indian N02,0.7992230367612428, 2
CON chinese 034,0.7705715635797221, 1
CON chinese 273,0.7368831948610091, 1
CON chinese 117,0.7328141734269138, 1
CON korean 019,0.6782917258610651, 1
CON western_hlad Sex,0.44358989070716276, 1
CON korean 231,0.30332620708963165, 1
CON bugis 012,0.29905654537460497, 1
CON korean 132,0.28469766126142404, 1
CON chinese 306,0.2760763833820391, 1
CON arabic_ancient 2002,0.2616255556419678, 1
CON korean 133,0.23768600063325082, 1
CON macedonian 012,0.21792502153555499, 1
CON western Cir,0.1241278716795921, 5
