Constellation, Simulated Prolificness, Same Constellations Accross Cultures 
CON korean 196,-2.89, 1
CON western_SnT Pav,-2.8932145676637018, 1
CON western_rey Vir,-2.894007422160686, 1
CON western_rey Leo,-2.8976565894034394, 1
CON indian N18,-2.9, 4
CON macedonian 006,-2.9, 1
CON sardinian 004,-2.901865009566307, 2
CON western_hlad Cyg,-2.9043032583308896, 1
CON arabic_ancient 5199,-2.9202872044617147, 1
CON western_hlad Crt,-2.9202872044617147, 1
CON western_hlad Lib,-2.929533383024648, 1
#CON macedonian 016,-2.936946203755525, 10
CON romanian Hra,-2.936946203755525, 1
CON western_hlad CMa,-2.939085863673168, 1
#CON indian N13,-2.9691346010753596, 2
CON ruelle Crv,-2.9691346010753596, 2
CON western Cep,-2.9696174711777115, 2
CON korean 137,-2.97, 2
CON western_hlad Vel,-2.97444486665853, 2
CON chinese 171,-2.9765355836183636, 1
CON navajo 007,-2.99, 1
CON arabic_arabian_peninsula 0100,-3.0, 4
CON korean 227,-3.0, 2
CON ruelle Gru,-3.0, 1
#CON arabic_arabian_peninsula 300,-3.0053463109697383, 10
CON sami 001,-3.0053463109697383, 1
CON western_hlad Car,-3.007736666951173, 1
CON arabic_ancient 4899,-3.014780161378751, 1
CON romanian Cma,-3.0149106124993152, 1
CON hawaiian_starlines MEE,-3.02, 4
CON western Ara,-3.021654942140956, 2
CON western_SnT CrA,-3.032128494061072, 1
CON inuit 010,-3.034421439464961, 1
CON korean 013,-3.04, 2
CON chinese 146,-3.04, 1
CON western_hlad Pup,-3.040276087988574, 1
CON ruelle Her,-3.043174744648205, 1
CON macedonian 018,-3.05, 3
CON korean 183,-3.0536008909398027, 1
CON western CrA,-3.0701422132607146, 2
CON korean 040,-3.1, 2
CON arabic_ancient 3001,-3.1, 3
CON arabic_ancient 5599,-3.11, 2
CON chinese 044,-3.11, 1
CON korean 173,-3.12, 1
CON korean 179,-3.1461460781242208, 1
CON ruelle CrB,-3.15296695044547, 1
CON western_hlad Per,-3.1610156247463346, 1
CON arabic_ancient 0699,-3.17, 2
CON western_rey Vel,-3.1726452124867137, 1
CON korean 023,-3.18, 1
CON chinese 091,-3.182902249468018, 1
CON korean 159,-3.188003632087029, 1
CON korean 035,-3.19, 2
CON boorong Cwp,-3.197709145793013, 1
CON western_hlad Tau,-3.199827229756395, 1
CON tupi 007,-3.199827229756395, 1
