Constellation, Average Distance, Same Constellations Accross Cultures 
CON tukano 004,0.016344636923283883, 1
CON korean 230,0.016386248850961512, 1
CON chinese 178,0.016477205444791237, 1
CON arabic_ancient 4099,0.016628652927385575, 2
CON korean 241,0.016684809702082665, 1
CON aztec 001,0.016921340274651513, 1
CON lokono 006,0.017078750025999744, 1
CON korean 151,0.01713045178750849, 2
CON korean 143,0.017136979580675366, 1
CON korean 162,0.017490553452591588, 1
CON chinese 191,0.01749055345259159, 1
CON arabic_al-sufi Sge,0.01750012101705236, 1
CON macedonian 003,0.017519540259722313, 1
CON korean 135,0.017755325084094546, 1
CON korean 063,0.017835855584775302, 2
CON korean 070,0.01791179406203403, 2
CON western_rey CrA,0.017939915676813283, 1
CON chinese 073,0.01834526036187457, 1
CON tongan 007,0.018890353747523844, 1
CON anutan 004,0.018933661364415193, 1
CON korean 238,0.01915826927841004, 1
CON korean 089,0.019304268391902364, 1
CON arabic_arabian_peninsula 3199,0.019591097190303067, 3
CON arabic_ancient 2501,0.019846864521417838, 2
CON chinese 233,0.019985436497535484, 1
CON chinese 016,0.02005592974862932, 1
CON arabic_ancient 0430,0.02018532040915495, 1
CON romanian Sec,0.02020931010642148, 1
CON arabic_ancient 2811,0.02040068815811472, 1
CON chinese 309,0.020430569573571415, 1
CON boorong Bun,0.02062626747649083, 1
CON chinese 102,0.020655565215519804, 1
CON korean 043,0.020744066909237635, 1
CON chinese 316,0.020780989642905204, 1
CON chinese 209,0.02080968009067108, 1
CON boorong Nln,0.02111855280049361, 1
CON chinese 017,0.021185743019498746, 1
CON chinese 095,0.021537582063526517, 1
CON siberian Kic,0.021672193770707192, 1
CON korean 224,0.021705633834874605, 1
CON indian N23,0.021720684487172015, 1
CON arabic_al-sufi Lyr,0.02192913703139191, 1
CON korean 119,0.021962029505903338, 2
CON korean 066,0.0220639779787947, 1
CON japanese_moon_stations 10,0.0220639779787947, 1
CON arabic_ancient 5899,0.022215477625490185, 1
CON lokono 007,0.02221795534996746, 1
CON korean 029,0.022308867403136767, 1
CON chinese 236,0.02231938640774217, 1
CON chinese 132,0.022526890935456116, 1
CON korean 047,0.022664728796606567, 1
CON arabic_ancient 1901,0.022706782292510337, 2
CON chinese 069,0.02272424060415236, 1
CON chinese 079,0.022732435912180517, 1
CON arabic_ancient 3999,0.022762109239228695, 2
CON korean 150,0.022853932848102318, 1
CON arabic_al-sufi Del,0.022924248848926257, 1
CON chinese 146,0.023038046159677927, 1
CON chinese 046,0.02317679536742413, 1
CON chinese 216,0.02321175485904312, 1
CON western CrA,0.023475946735131183, 2
CON arabic_ancient 2399,0.023670142716420605, 1
CON chinese 037,0.023715142372808366, 1
CON arabic_arabian_peninsula 2803,0.02383226343075709, 3
#CON arabic_arabian_peninsula 4202,0.02384133309771122, 15
CON korean 050,0.024103314972035064, 1
CON macedonian 004,0.024190247052644102, 1
CON korean 272,0.02436867381158578, 1
CON chinese 308,0.024545497821635114, 1
CON western_rey Del,0.02475174232386388, 1
CON arabic_ancient 3004,0.024873125885127533, 1
CON korean 058,0.02512130643766979, 1
CON sardinian 001,0.025149691789981523, 1
CON belarusian 007,0.02520650241463117, 1
CON japanese_moon_stations 09,0.025219356842050192, 1
CON macedonian 011,0.025325542059722254, 1
CON korean 041,0.025379907902717793, 1
CON korean 034,0.025410678337293807, 1
CON ruelle Sge,0.02542697271595762, 1
CON chinese 098,0.025629971616962142, 1
CON tukano 002,0.02564881417202391, 1
CON tukano 009,0.025745808201947346, 1
CON chinese 313,0.02576952814242583, 1
CON korean 059,0.025806130674180538, 1
CON chinese 001,0.025873713533531056, 1
CON chinese 197,0.026024255559493684, 1
CON korean 203,0.026055255385985174, 1
CON korean 209,0.02611471693844597, 1
CON korean 262,0.02613207619394803, 1
CON boorong Won,0.026202361611542196, 1
CON lokono 012,0.026229154035998858, 1
CON northern_andes 004,0.026377833728972067, 1
CON korean 213,0.02641912147715038, 1
CON chinese 251,0.02654132768978705, 1
CON korean 228,0.02655261430122026, 1
CON chinese 182,0.02656576871566927, 1
CON indian N01,0.026816447564906365, 1
CON chinese 221,0.026941546832872237, 1
CON chinese 272,0.02698543575322874, 1
CON arabic_ancient 0999,0.027041607179946893, 1
CON arabic_ancient 3003,0.027121075477660486, 3
CON korean 044,0.02712107547766049, 1
CON korean 054,0.027246810422415953, 1
CON macedonian 014,0.027321751271986917, 1
CON chinese 152,0.027412435901757515, 1
CON tukano 005,0.027413002038530653, 1
CON arabic_ancient 4204,0.027444133511621883, 1
CON chinese 268,0.027601861913535086, 1
CON korean 257,0.027639788493564216, 1
CON macedonian 008,0.027710461725282638, 1
CON korean 231,0.02780323761505533, 1
CON korean 218,0.027821535775428563, 1
CON korean 261,0.027829862533471778, 1
CON korean 141,0.027923247646030838, 1
CON arabic_ancient 3799,0.027938207544089683, 2
CON belarusian 012,0.027938830160471363, 1
CON korean 065,0.027981418675721043, 2
CON arabic_ancient 1299,0.02798239551191369, 1
CON korean 138,0.02800427801661297, 1
CON chinese 275,0.02812354049648116, 1
CON arabic_arabian_peninsula 2603,0.02825442380909085, 6
CON egyptian 021,0.028271199635301707, 1
CON korean 271,0.028369297101185135, 1
CON chinese 136,0.028520565816181, 1
CON chinese 249,0.0285583185132269, 1
CON arabic_al-sufi CrA,0.02896437838162058, 1
CON boorong War,0.02928851106381399, 1
CON korean 020,0.029338350799628172, 2
CON ruelle Cap,0.029342128211716972, 1
CON western Equ,0.029481628615067132, 4
CON mandar 005,0.029521662801164247, 1
CON chinese 240,0.02956414938170256, 1
CON chinese 200,0.029566284933144303, 1
CON macedonian 009,0.02959324544732166, 1
CON korean 008,0.02975618860154952, 2
CON chinese 064,0.02992635594712617, 1
CON arabic_ancient 0420,0.02992911451240852, 1
CON arabic_al-sufi Ori,0.03005442502901224, 1
CON western Sge,0.03012342429090336, 2
CON anutan 007,0.03022393342579301, 1
CON korean 199,0.030451745414770123, 1
CON chinese 231,0.030535124542893158, 1
CON arabic_ancient 3599,0.03055357315548117, 2
CON chinese 013,0.03057275840763624, 1
CON korean 014,0.030600625763324587, 2
CON indian N28,0.03063430939429569, 1
CON korean 178,0.030824234792720707, 1
CON korean 052,0.03089193638942737, 3
CON western_hlad Del,0.030992111371010433, 1
CON western Del,0.031003716717492448, 4
CON arabic_ancient 1101,0.031249604067565464, 1
CON arabic_arabian_peninsula 3499,0.03132720650524986, 3
CON korean 082,0.03132720650524986, 1
CON chinese 080,0.03136357438187454, 1
CON romanian Tau,0.03153268526315611, 2
CON korean 094,0.03162430136690039, 1
CON western_rey Aps,0.03162545204802183, 1
CON korean 007,0.03189858237180634, 2
CON chinese 127,0.031953554535515655, 1
CON korean 131,0.032062935012311417, 1
CON korean 232,0.032119256257329636, 1
CON chinese 024,0.03219201904546465, 1
CON korean 077,0.03225359529160183, 1
CON korean 088,0.03238966851738984, 3
CON ruelle Mus,0.032393801752096676, 1
CON chinese 045,0.03249583253662439, 1
CON korean 133,0.03258363289413945, 1
CON chinese 318,0.032662993124478706, 1
CON korean 084,0.03277347781657357, 1
CON chinese 285,0.03280021626984105, 1
CON western_SnT Lyr,0.032938652118897245, 1
CON chinese 247,0.03294788621829118, 1
CON korean 165,0.03296548599235385, 1
CON indian N02,0.03309548503055581, 2
CON western_hlad CrA,0.03333923505375829, 1
CON chinese 296,0.03334887947906523, 1
CON chinese 141,0.03339469837027035, 1
CON korean 207,0.033573122004204085, 1
CON korean 144,0.03366539488182727, 1
CON boorong Cwp,0.03379421257420738, 1
CON arabic_ancient 3699,0.033798911669932784, 2
CON chinese 043,0.03389409048247156, 1
CON indian N09,0.0340361974271726, 1
CON ruelle CrB,0.0340386658359955, 1
CON macedonian 010,0.034216329852744434, 1
CON chinese 206,0.03432954899571895, 1
CON japanese_moon_stations 25,0.03433639320833281, 1
CON chinese 196,0.0343490000555454, 1
CON chinese 145,0.034431966631951104, 1
CON chinese 066,0.03446080710201859, 1
CON western Lyr,0.0345240861666106, 5
CON korean 235,0.03457351794807979, 1
CON tukano 007,0.034658757661766335, 3
CON blackfoot 004,0.03472671418705695, 2
CON maori 005,0.03472693041134591, 4
CON tupi 007,0.03472693041134592, 1
CON chinese 027,0.03477118579953307, 1
CON korean 233,0.034870634545284336, 1
CON tukano 001,0.03508289265785835, 1
CON chinese 315,0.03511115756563754, 1
CON korean 194,0.03517536285893818, 1
CON chinese 311,0.03520322787922914, 1
CON korean 085,0.0353489110852363, 1
CON chinese 058,0.03535272600328674, 1
CON korean 142,0.03542340195131923, 1
CON chinese 075,0.03548812512030242, 1
CON korean 074,0.03565592634664976, 1
CON chinese 108,0.03570185730842609, 1
CON korean 208,0.035864088548070036, 2
CON korean 186,0.035884183834557826, 1
CON western_rey Lac,0.036012353651460285, 2
CON inuit 001,0.03613948691792914, 1
CON western_hlad Sge,0.03625456117780907, 3
CON macedonian 017,0.036281537742631785, 1
CON korean 091,0.03631712812563272, 1
CON korean 195,0.03660496336339103, 1
CON navajo 007,0.03677962809144063, 1
CON korean 114,0.03679327588054959, 1
CON indian N18,0.036931430621057894, 4
CON chinese 213,0.036950066299167666, 1
CON western_hlad Pyx,0.03706904212424068, 1
CON western_rey Crv,0.0371115769073619, 1
CON chinese 149,0.03727868570600224, 1
CON chinese 049,0.037334380662090584, 1
CON arabic_ancient 4207,0.03738307098196034, 1
CON western_rey Mus,0.0374643285568552, 1
CON western_SnT Mus,0.0374643285568552, 1
#CON macedonian 016,0.03747406606212095, 10
CON romanian Hra,0.03747406606212095, 1
CON korean 140,0.03760113068782376, 1
CON boorong Tot,0.03761019412370685, 1
CON korean 256,0.03773126108791026, 2
CON chinese 254,0.037781243669201305, 1
CON arabic_al-sufi Aqr,0.03780506846211291, 1
CON korean 024,0.03781037334401184, 1
CON korean 072,0.03794027074100851, 1
CON northern_andes 002,0.037944325216328595, 1
CON chinese 295,0.03806151968178264, 1
CON chinese 134,0.03828415530952239, 1
CON boorong Tbg,0.03838982501920196, 1
CON korean 221,0.03845786033860677, 1
CON arabic_ancient 1499,0.038496328730752025, 3
CON western_hlad Equ,0.03852551371255939, 1
CON korean 191,0.038557929592108034, 1
CON chinese 298,0.038835486287266914, 1
CON chinese 139,0.038839466879466364, 1
CON arabic_ancient 1999,0.03889951518413298, 2
CON korean 134,0.03914933760559495, 1
CON western_SnT CrA,0.039276886866691264, 1
CON korean 183,0.03928050033356764, 1
CON romanian Pmi,0.039440666426551516, 1
CON korean 006,0.0395949976919305, 1
CON western_rey Equ,0.03969928778335343, 2
CON boorong Wjl,0.0398059093446858, 1
#CON indian N22,0.039823813219185315, 7
CON korean 158,0.03983834033140073, 2
CON korean 064,0.03994097729136862, 1
CON korean 067,0.039988856401283336, 1
CON chinese 012,0.04009746302175642, 1
CON northern_andes 001,0.040347987186671326, 1
CON korean 056,0.040375406306908654, 1
CON chinese 119,0.04054609824143993, 1
CON chinese 101,0.04064902787948055, 1
CON arabic_ancient 3002,0.040681948277493205, 2
CON korean 109,0.04075717486838045, 4
CON japanese_moon_stations 19,0.04076995830417127, 1
CON chinese 087,0.04091974619353933, 1
CON romanian C3i,0.04092878372069447, 1
CON arabic_al-sufi Lep,0.041016181470440276, 1
CON western Lep,0.04119192804406679, 2
CON chinese 273,0.04124075266275886, 1
CON arabic_arabian_peninsula 3399,0.04130587621100653, 3
CON chinese 312,0.04166934961519938, 1
CON arabic_ancient 1902,0.04175141600841248, 2
CON arabic_al-sufi Per,0.04179184146003071, 1
CON ruelle Ser,0.041860051322122394, 1
CON western_hlad Aps,0.04189188595456441, 2
CON chinese 215,0.04189696073116949, 1
CON western_rey Sco,0.04200060694042806, 1
CON chinese 140,0.042007716040917416, 1
CON korean 103,0.042013263936171635, 1
CON arabic_al-sufi Eri,0.04207995377763621, 1
CON korean 170,0.042095395605925734, 1
CON korean 147,0.04210036759284757, 1
CON japanese_moon_stations 26,0.042183760624245885, 1
CON indian N19,0.0422258226117272, 1
CON korean 038,0.04230318566766469, 2
CON western_rey Lup,0.042341449664326763, 1
CON chinese 287,0.04234976692559312, 1
CON chinese 225,0.042363662235743324, 1
CON arabic_al-sufi And,0.04243645867804184, 1
CON korean 127,0.04243953352022379, 1
CON western_SnT Sco,0.04255308658850094, 1
CON korean 193,0.042681745356279145, 1
CON korean 192,0.04269479083475256, 3
CON maori 004,0.04270685671380185, 1
CON western_rey Cap,0.04281241710712392, 1
CON chinese 290,0.042858857545502456, 1
CON chinese 252,0.04306298941166487, 1
CON chinese 171,0.04311408612581367, 1
CON korean 259,0.04342813779568005, 1
CON arabic_arabian_peninsula 3299,0.04343337348931983, 3
CON chinese 117,0.043565447386970844, 1
CON chinese 230,0.04356853866258564, 1
CON chinese 267,0.043890172568603864, 1
CON chinese 246,0.044033436136813445, 1
CON arabic_al-sufi Sco,0.04420700566928728, 1
CON western_rey Ori,0.044288928177244995, 1
CON boorong Bbg,0.0443726849842443, 1
CON chinese 301,0.044389127525672686, 1
CON chinese 137,0.044395285669183424, 1
CON korean 076,0.044545349391143324, 1
CON western_hlad Mus,0.04458784782601942, 1
CON chinese 167,0.04465524141037859, 1
CON arabic_arabian_peninsula 3005,0.04469064708334232, 3
CON korean 075,0.04486740640598774, 1
CON romanian Arc,0.0449997816642658, 1
CON chinese 186,0.045153463110314526, 1
CON chinese 072,0.045200506924099645, 1
CON korean 136,0.04536814333511068, 1
CON arabic_ancient 4399,0.04545027696406643, 1
CON arabic_ancient 4199,0.04561957210647186, 1
CON western_rey Ari,0.045640842293168324, 1
CON chinese 085,0.045789941524818835, 1
CON chinese 224,0.04579814640664744, 1
CON western_hlad Sco,0.04582484144708277, 1
CON ruelle Sco,0.04584887332767713, 1
CON korean 176,0.045849215111363105, 2
CON chinese 212,0.045950144999233444, 1
CON chinese 195,0.045993005296539526, 1
CON arabic_al-sufi Crv,0.04600069326023031, 1
CON chinese 281,0.04611719356401461, 1
CON korean 152,0.04615180070568802, 2
CON western Aps,0.04619233943145342, 2
CON japanese_moon_stations 24,0.0462127343444187, 1
CON arabic_al-sufi Dra,0.04622574946663209, 1
CON korean 248,0.046239789161967006, 1
CON arabic_al-sufi SFB,0.0462550482775603, 1
CON western_rey SerCp,0.046361252788485956, 1
CON korean 189,0.046418394196030444, 1
CON western Col,0.046449774975885205, 2
CON western_rey Col,0.046449774975885205, 1
CON arabic_al-sufi Psc,0.046544579192610284, 1
CON korean 188,0.046731754474076605, 1
CON korean 240,0.046747284196002915, 1
CON korean 154,0.04675515292110868, 2
CON arabic_ancient 4499,0.04675515292110868, 1
CON arabic_al-sufi SHr,0.046772286377640165, 1
CON chinese 007,0.046807241808732414, 1
CON chinese 142,0.046937341680354405, 1
CON korean 129,0.04697611472947323, 1
CON boorong Pur,0.04709273996605744, 1
CON korean 175,0.04709827796026074, 1
CON korean 180,0.0471868136427687, 1
CON western_rey Per,0.047237202892142484, 1
CON chinese 262,0.047369076725548485, 1
CON korean 179,0.047467617214594145, 1
CON chinese 176,0.047524843840732287, 1
CON chinese 135,0.047595612646213176, 1
CON korean 132,0.04764979251443894, 1
CON korean 111,0.04775750920179308, 1
CON western_rey Lyr,0.04775958628080775, 1
CON western_rey DraF,0.04811603904317571, 1
CON western_hlad Sgr,0.048138015896796275, 1
CON arabic_ancient 4299,0.048268600462080216, 2
CON korean 122,0.04829114318002331, 2
CON japanese_moon_stations 15,0.04851566299861614, 1
CON chinese 201,0.048667744694074, 1
CON western_SnT Ori,0.04867979479683451, 1
CON korean 011,0.04884119682888552, 1
CON chinese 253,0.04884733331724751, 1
CON western_rey Cha,0.0488763473598794, 1
CON chinese 220,0.04894289196957561, 1
CON arabic_arabian_peninsula 2810,0.049061255659804355, 3
CON chinese 307,0.04911307827871538, 1
CON hawaiian_starlines MAN,0.0491154296413854, 1
CON boorong Wpl,0.04915860419432041, 1
CON korean 113,0.049176649652683625, 1
CON arabic_ancient 4699,0.04925724269746044, 1
CON arabic_al-sufi Lup,0.04925932128901708, 1
CON korean 068,0.04934074494712937, 1
CON chinese 125,0.049359154740236964, 1
CON western_SnT Cha,0.04939110369586977, 1
CON arabic_al-sufi PsA,0.049408246521122245, 1
CON korean 108,0.04944541296961821, 1
CON korean 146,0.04957931699024465, 1
CON western_rey PsA,0.04973390041576736, 2
CON western_SnT Sgr,0.0497451108415131, 1
CON ruelle Ori,0.04979898642760216, 1
CON chinese 111,0.049843218079164926, 1
CON arabic_arabian_peninsula 3099,0.049859783280851125, 3
CON western_SnT Tel,0.04997009085860119, 1
CON western_hlad Men,0.05005326010186483, 1
CON korean 260,0.05006462342780781, 1
CON maori 006,0.05012116480580854, 1
CON korean 173,0.050123341578697814, 1
CON arabic_al-sufi Ara,0.05045786930793081, 1
CON arabic_al-sufi Oph,0.05057404624868767, 1
CON western Mus,0.050752253963085026, 2
CON chinese 051,0.050765993915202506, 1
CON chinese 118,0.050801546853845046, 1
CON korean 217,0.05083067079229728, 1
CON western_hlad Lac,0.05093995071283183, 1
CON chinese 120,0.05097804491414223, 1
CON arabic_al-sufi Cap,0.05103774195334837, 1
CON tukano 008,0.05114248870804417, 1
CON northern_andes 005,0.05136671561230002, 1
CON arabic_ancient 4205,0.051375108197438776, 1
CON korean 073,0.051377730614345175, 1
CON ruelle Lib,0.05139398203501233, 1
CON arabic_al-sufi Aur,0.05153828016974577, 1
CON chinese 057,0.051556055165995006, 1
CON romanian Sco,0.05158134537074073, 1
CON lokono 011,0.051616414598783716, 1
CON western_SnT Per,0.051618144581170575, 1
CON ruelle Lyr,0.05168541798588492, 1
CON western_rey Aql,0.0518415525480545, 1
CON chinese 031,0.05188506718417814, 1
CON chinese 242,0.05189682081120538, 1
CON tupi 002,0.051994360442784535, 1
CON korean 211,0.05203872538262667, 1
CON bugis 001,0.05215341774746518, 1
CON western_hlad Cap,0.05218346084873367, 1
CON korean 016,0.05229583490752082, 1
CON western_SnT Vol,0.052382144555044904, 1
CON korean 053,0.0523975253088853, 1
CON chinese 277,0.05242343225835645, 1
CON korean 040,0.052890440672377706, 2
CON arabic_ancient 3001,0.052890440672377706, 3
CON korean 145,0.05300135036795066, 1
CON korean 086,0.05305337784004108, 1
CON western Per,0.053069898683933664, 3
CON western_rey Lep,0.05307213575437928, 2
CON chinese 284,0.053227828934845206, 1
CON western Mic,0.05329375334891969, 2
CON arabic_al-sufi UMi,0.05330035369617477, 1
CON bugis 002,0.05337673773114776, 1
CON western_hlad Vol,0.05341591915120177, 1
CON bugis 003,0.05342114838038283, 1
CON chinese 263,0.053493068573461235, 1
CON korean 139,0.05353551322219247, 1
CON chinese 088,0.0535554939261837, 1
CON western Ori,0.05371262369462198, 2
CON chinese 302,0.05374769952168132, 1
CON chinese 090,0.05381484036910132, 1
CON korean 266,0.05394084013118839, 1
CON korean 121,0.05396583472570855, 1
CON romanian Psc,0.053972087230557186, 1
CON korean 028,0.053995770686930455, 3
CON arabic_ancient 5199,0.05400257827742073, 1
CON romanian Bar,0.054058582685217814, 1
CON indian N08,0.05428746394198869, 1
CON korean 252,0.05440432822650569, 2
CON western Tel,0.05440990046598557, 3
CON korean 098,0.054548120873139164, 1
CON korean 245,0.05465654039605683, 1
CON western_SnT Cap,0.054691871844652004, 1
CON chinese_contemporary CMa,0.054716484692321536, 1
CON arabic_ancient 2699,0.0547586477440923, 1
CON chinese 190,0.05481962389039923, 1
CON arabic_al-sufi Tau,0.0548885079371141, 1
CON chinese 156,0.05489921477618977, 1
CON korean 110,0.05491496008856581, 1
CON korean 022,0.05493806049112322, 1
CON arabic_arabian_peninsula 2550,0.05496876272470599, 3
CON mandar 003,0.055082796229657546, 1
CON arabic_al-sufi Ari,0.05509866728829042, 1
CON western_hlad Nor,0.055190045854036085, 3
CON arabic_al-sufi CMa,0.055196343674989844, 1
CON western_SnT Eri,0.05524548440602781, 1
