Constellation, Average Continuation, Same Constellations Accross Cultures 
CON arabic_ancient 4599,1.6135126322639635, 1
CON chinese 016,1.6232020978739428, 1
CON korean 248,1.6430986882901888, 1
CON korean 054,1.677810769362199, 1
CON ruelle Tuc,1.688200715308477, 1
CON anutan 007,1.7294019640176104, 1
CON japanese_moon_stations 27,1.7547183002229523, 1
CON ruelle Phe,1.7649664297512664, 1
CON maori 005,1.7741082173472922, 4
CON korean 097,1.7744070189957235, 2
CON korean 187,1.7756153123329836, 1
CON western_SnT Vol,1.8059243819551465, 1
CON tukano 007,1.848877447506464, 3
CON boorong Wpl,1.9808746365587684, 1
CON korean 146,2.059731768658287, 1
CON western Cam,2.0677384090130557, 2
CON ruelle Cer,2.160477598418364, 1
CON tukano 004,2.1878362922149406, 1
CON korean 199,2.2000286445601884, 1
CON western_hlad Cha,2.384231511078884, 1
#CON arabic_arabian_peninsula 300,2.4273893148553163, 10
CON ruelle Mon,2.6107371970154714, 1
CON chinese 244,2.610952789192519, 1
CON chinese 318,2.6489047306807483, 1
CON mandar 001,2.655948871532228, 1
CON korean 230,3.1377731725699887, 1
CON chinese 296,3.5710655692689794, 1
