Constellation, Max Magnitude, Same Constellations Accross Cultures 
CON korean 147,5.2, 1
CON korean 193,5.2, 1
CON western_hlad Lyn,5.2, 1
CON western_rey Crv,5.2, 1
CON arabic_al-sufi Crv,5.2, 1
CON chinese 031,5.2, 1
CON chinese 056,5.2, 1
CON chinese 256,5.2, 1
CON indian N27,5.21, 1
CON western Hor,5.21, 2
CON ruelle Psc,5.21, 1
CON chinese 262,5.21, 1
CON korean 131,5.22, 1
CON arabic_al-sufi Lyr,5.22, 1
CON chinese 212,5.22, 1
CON western Ant,5.23, 2
CON western_rey Ari,5.23, 1
CON korean 215,5.24, 1
CON siberian Kic,5.24, 1
CON western_rey Eri,5.24, 1
CON chinese 253,5.24, 1
CON korean 214,5.25, 1
CON korean 264,5.25, 1
CON chinese 111,5.25, 1
CON chinese 193,5.25, 1
CON korean 206,5.26, 2
CON western_hlad Eri,5.26, 1
CON ruelle Eri,5.26, 1
CON chinese 180,5.26, 1
CON korean 160,5.27, 1
CON ruelle Vir,5.27, 1
CON arabic_al-sufi And,5.27, 1
CON chinese 223,5.27, 1
CON chinese 230,5.27, 1
CON korean 161,5.28, 2
CON japanese_moon_stations 22,5.28, 1
CON korean 127,5.29, 1
CON korean 151,5.29, 2
CON western Lep,5.29, 2
CON arabic_ancient 5899,5.29, 1
CON western_rey Leoh,5.29, 1
CON western_rey Com,5.29, 1
CON arabic_al-sufi Lep,5.29, 1
CON chinese 079,5.29, 1
CON chinese 173,5.29, 1
CON western_hlad Equ,5.3, 1
CON western_hlad Hor,5.3, 1
CON western_rey Ophf1,5.3, 1
CON western_SnT Men,5.3, 1
CON korean 074,5.31, 1
CON korean 262,5.32, 1
CON western Pup,5.32, 2
CON arabic_al-sufi Lib,5.32, 1
CON egyptian 020,5.32, 1
CON indian N08,5.33, 1
CON korean 176,5.33, 2
CON western Ori,5.33, 2
CON western_rey Vol,5.33, 1
CON tupi 004,5.33, 1
CON arabic_al-sufi Can,5.33, 1
CON chinese 007,5.33, 1
CON chinese 071,5.33, 1
CON korean 162,5.34, 1
CON arabic_al-sufi Ori,5.34, 1
CON chinese 191,5.34, 1
CON western_rey Psc,5.35, 1
CON chinese 169,5.35, 1
CON boorong Won,5.35, 1
CON korean 182,5.36, 1
CON western CrA,5.36, 2
CON arabic_ancient 2008,5.36, 1
CON western_rey Virh,5.36, 1
CON western_rey CrA,5.36, 1
CON chinese 073,5.36, 1
CON boorong Bbg,5.36, 1
CON korean 076,5.37, 1
CON korean 146,5.37, 1
CON korean 224,5.37, 1
CON korean 233,5.37, 1
CON romanian Arc,5.37, 1
CON korean 084,5.38, 1
CON korean 108,5.38, 1
CON korean 186,5.38, 1
CON korean 236,5.38, 2
CON western Sct,5.38, 2
CON arabic_ancient 0299,5.38, 2
CON arabic_al-sufi Tau,5.38, 1
CON arabic_al-sufi Gem,5.38, 1
CON arabic_al-sufi Hya,5.38, 1
CON tongan 008,5.38, 1
CON korean 089,5.39, 1
CON chinese 139,5.39, 1
CON chinese 284,5.39, 1
CON korean 015,5.4, 1
CON korean 043,5.4, 1
CON western_rey Aqlt,5.4, 1
CON chinese 120,5.4, 1
CON chinese 209,5.4, 1
CON chinese 308,5.4, 1
CON western_SnT Hor,5.4, 1
CON chinese 246,5.41, 1
CON chinese 271,5.41, 1
CON korean 064,5.42, 1
CON korean 098,5.42, 1
CON korean 106,5.42, 1
CON korean 175,5.42, 1
CON western_rey Cenl,5.42, 1
CON navajo 001,5.42, 1
CON arabic_al-sufi SFB,5.42, 1
CON chinese 033,5.42, 1
CON hawaiian_starlines LUP,5.43, 1
CON korean 243,5.43, 2
CON korean 258,5.43, 1
CON western PsA,5.43, 2
CON ruelle Oph,5.43, 1
CON chinese 022,5.43, 1
CON chinese 129,5.43, 1
CON chinese 152,5.43, 1
CON chinese 210,5.43, 1
CON korean 041,5.44, 1
CON western_hlad Psc,5.44, 1
CON chinese 142,5.44, 1
CON chinese 172,5.44, 1
CON hawaiian_starlines MAK,5.45, 1
CON korean 124,5.45, 1
CON belarusian 003,5.45, 1
CON lokono 003,5.45, 1
CON korean 050,5.46, 1
CON western_rey Tauc2,5.46, 1
CON western_rey Cha,5.46, 1
CON arabic_al-sufi CrA,5.46, 1
CON chinese 185,5.46, 1
CON chinese 213,5.46, 1
CON anutan 009,5.46, 1
CON korean 199,5.47, 1
CON ruelle Com,5.47, 1
CON arabic_al-sufi UMa,5.47, 1
CON chinese 094,5.47, 1
CON korean 261,5.48, 1
CON chinese 098,5.48, 1
CON korean 248,5.49, 1
CON arabic_ancient 0499,5.49, 1
CON arabic_ancient 6199,5.49, 1
CON chinese 184,5.49, 1
CON chinese 297,5.49, 1
CON korean 094,5.5, 1
CON western Psc,5.5, 1
CON korean 056,5.51, 1
CON korean 170,5.51, 1
CON japanese_moon_stations 27,5.51, 1
CON arabic_al-sufi Aql,5.51, 1
CON korean 140,5.52, 1
CON western_rey Booh,5.52, 1
CON chinese 200,5.52, 1
CON korean 128,5.53, 1
CON korean 207,5.53, 1
CON western Men,5.53, 2
CON ruelle Lib,5.53, 1
CON korean 190,5.54, 1
CON western_rey Leot,5.54, 1
CON korean 066,5.55, 1
CON japanese_moon_stations 10,5.55, 1
CON western_rey Colw,5.55, 1
CON arabic_al-sufi Aqr,5.55, 1
CON chinese 207,5.55, 1
CON arabic_arabian_peninsula 2550,5.57, 3
CON korean 073,5.57, 1
CON korean 103,5.57, 1
CON arabic_ancient 1499,5.57, 3
CON arabic_ancient 2506,5.57, 1
CON arabic_ancient 2699,5.57, 1
CON book-of-the-stars-almagest SFA,5.57, 1
CON chinese 087,5.57, 1
CON korean 036,5.58, 1
CON korean 085,5.58, 1
CON korean 113,5.58, 1
CON korean 142,5.58, 1
CON western Peg,5.58, 2
CON western_hlad Peg,5.58, 1
CON arabic_al-sufi Leo,5.58, 1
CON chinese 231,5.58, 1
CON arabic_ancient 2003,5.6, 1
CON arabic_ancient 2004,5.6, 1
CON western_rey Aqlw1,5.6, 1
CON chinese 259,5.6, 1
CON chinese 261,5.6, 1
CON western_hlad CVn,5.61, 1
CON ruelle Cnc,5.62, 1
CON romanian Prb,5.62, 1
CON western_rey Opha2,5.63, 1
CON chinese 196,5.63, 1
CON western Sgr,5.64, 2
CON korean 120,5.65, 1
CON korean 209,5.65, 1
CON tukano 001,5.67, 1
CON arabic_al-sufi Boo,5.67, 1
CON chinese 043,5.67, 1
CON chinese 075,5.67, 1
CON chinese 216,5.67, 1
CON western_hlad Vol,5.68, 1
CON tukano 002,5.69, 1
CON korean 077,5.69, 1
CON korean 078,5.69, 1
CON korean 105,5.69, 1
CON korean 134,5.69, 1
CON western_rey Del,5.69, 1
CON arabic_al-sufi Her,5.69, 1
CON arabic_al-sufi Del,5.69, 1
CON chinese 037,5.69, 1
CON chinese 055,5.69, 1
CON chinese 215,5.69, 1
CON western Mon,5.7, 2
CON tupi 003,5.7, 1
CON korean 110,5.72, 1
CON korean 230,5.72, 1
CON western Lup,5.72, 2
CON arabic_al-sufi Ari,5.72, 1
CON chinese 153,5.72, 1
CON chinese 316,5.73, 1
CON korean 060,5.74, 1
CON chinese 118,5.74, 1
CON chinese 206,5.74, 1
CON chinese 070,5.75, 1
CON indian N03,5.76, 1
CON tukano 006,5.76, 1
CON korean 003,5.76, 1
CON korean 143,5.76, 1
CON korean 179,5.76, 1
CON korean 191,5.76, 1
CON tupi 006,5.76, 1
CON arabic_al-sufi Cen,5.76, 1
CON chinese 015,5.76, 1
CON boorong Wjl,5.77, 1
CON korean 144,5.78, 1
CON romanian Chi,5.78, 1
CON chinese 315,5.78, 1
CON korean 059,5.79, 1
CON korean 136,5.79, 1
CON korean 228,5.79, 1
CON arabic_al-sufi Eri,5.79, 1
CON arabic_al-sufi SHr,5.79, 1
CON chinese 114,5.79, 1
CON chinese 307,5.79, 1
CON chinese 125,5.8, 1
CON chinese 267,5.8, 1
CON chinese 198,5.81, 1
CON western_rey Colt,5.82, 1
CON korean 245,5.83, 1
CON korean 260,5.83, 1
CON chinese 116,5.83, 1
CON chinese 302,5.83, 1
CON western_rey Scot,5.84, 1
CON boorong Krk,5.84, 1
CON romanian Var,5.85, 1
CON chinese 203,5.85, 1
CON western_rey Hyat,5.86, 1
CON western_rey Scoc,5.86, 1
CON arabic_arabian_peninsula 4299,5.87, 1
CON arabic_ancient 4299,5.87, 2
CON chinese 101,5.87, 1
CON korean 217,5.88, 1
CON western_rey Cena1,5.88, 1
CON arabic_ancient 2703,5.89, 1
CON arabic_ancient 2799,5.89, 1
CON western_rey Aqlh,5.89, 1
CON arabic_al-sufi Ara,5.89, 1
CON chinese 132,5.89, 1
CON western Vir,5.9, 2
CON western_rey Boob,5.9, 1
CON chinese 190,5.9, 1
CON romanian Vir,5.91, 1
CON chinese 102,5.91, 1
CON chinese 143,5.91, 1
CON chinese 247,5.91, 1
CON korean 271,5.92, 1
CON chinese_contemporary Psc,5.92, 1
CON chinese 088,5.92, 1
CON western_rey Cenh,5.93, 1
CON macedonian 014,5.94, 1
CON korean 058,5.94, 1
CON arabic_al-sufi Cap,5.94, 1
CON chinese 016,5.94, 1
CON chinese 235,5.94, 1
CON chinese 242,5.94, 1
CON arabic_al-sufi PsA,5.95, 1
CON chinese 157,5.95, 1
CON western_rey Sgrh,5.96, 1
CON chinese 171,5.96, 1
CON korean 111,5.98, 1
CON korean 259,5.98, 1
CON western_rey Scoe,5.98, 1
CON chinese 119,5.98, 1
CON korean 054,5.99, 1
CON korean 135,5.99, 1
CON korean 213,5.99, 1
CON korean 240,5.99, 1
CON arabic_al-sufi Vir,5.99, 1
CON chinese 017,5.99, 1
CON chinese 272,5.99, 1
CON boorong Pur,5.99, 1
CON chinese 270,6.0, 1
CON chinese 289,6.0, 1
CON arabic_al-sufi Cet,6.01, 1
CON arabic_ancient 3004,6.02, 1
CON boorong Nln,6.04, 1
CON boorong Yur,6.06, 1
CON western_SnT Mic,6.06, 1
CON korean 218,6.07, 1
CON tupi 001,6.07, 1
CON arabic_al-sufi Psc,6.08, 1
CON korean 047,6.09, 1
CON arabic_al-sufi Aur,6.1, 1
CON chinese 318,6.1, 1
CON korean 238,6.12, 1
CON arabic_ancient 1399,6.12, 1
CON chinese 038,6.12, 1
CON arabic_arabian_peninsula 3005,6.13, 3
CON chinese 027,6.13, 1
CON western_rey Cena2,6.14, 1
CON chinese 225,6.15, 1
CON korean 091,6.18, 1
CON arabic_ancient 1099,6.19, 1
CON chinese 228,6.19, 1
CON chinese 255,6.2, 1
CON western_rey Cygw2,6.21, 1
CON korean 189,6.23, 1
CON chinese 064,6.23, 1
CON korean 016,6.24, 1
CON romanian Tau,6.24, 2
CON egyptian 005,6.24, 1
CON arabic_al-sufi Per,6.25, 1
CON western_rey SerHh,6.26, 1
CON chinese 012,6.28, 1
CON western_rey Taut,6.29, 1
CON macedonian 012,6.3, 1
CON chinese 030,6.3, 1
CON chinese 189,6.3, 1
CON arabic_ancient 1903,6.31, 2
CON western_hlad Cep,6.31, 1
CON chinese 277,6.31, 1
CON korean 203,6.32, 1
CON arabic_al-sufi Oph,6.32, 1
CON western_rey Pegh,6.33, 1
CON western_rey PscW,6.33, 1
CON western_rey Pupt,6.34, 1
CON romanian Omu,6.34, 1
CON chinese 053,6.34, 1
CON western_rey Hyah,6.35, 1
CON chinese 049,6.35, 1
CON korean 272,6.36, 1
CON arabic_ancient 4899,6.37, 1
CON arabic_ancient 6099,6.37, 1
CON chinese 273,6.38, 1
CON korean 177,6.39, 1
CON korean 241,6.39, 1
CON chinese 036,6.39, 1
CON arabic_ancient 2006,6.4, 1
CON arabic_ancient 2099,6.4, 1
CON western_rey Lupe,6.41, 1
CON lokono 006,6.41, 1
CON chinese 175,6.42, 1
CON boorong Tot,6.43, 1
CON tukano 009,6.44, 1
CON chinese 240,6.45, 1
CON tukano 003,6.46, 1
CON western Cet,6.47, 2
CON arabic_ancient 2811,6.47, 1
CON arabic_ancient 4199,6.47, 1
CON western_hlad Cet,6.47, 1
CON ruelle Cet,6.47, 1
CON western_rey Cet,6.47, 1
CON chinese 254,6.47, 1
CON western_SnT Cet,6.47, 1
CON macedonian 011,6.49, 1
CON chinese 035,6.49, 1
CON chinese 219,6.51, 1
CON chinese 268,6.51, 1
CON chinese 137,6.52, 1
CON tukano 005,6.54, 1
CON macedonian 009,6.54, 1
CON western_rey Oric,6.54, 1
CON macedonian 005,6.55, 1
CON chinese 154,6.55, 1
CON western_hlad Cnc,6.58, 1
CON navajo 008,6.6, 1
CON arabic_arabian_peninsula 2810,6.61, 3
CON chinese 117,6.61, 1
CON chinese 130,6.61, 1
CON chinese 292,6.61, 1
CON chinese 241,6.62, 1
CON chinese 229,6.64, 1
CON chinese 197,6.66, 1
CON northern_andes 003,6.66, 1
CON western_rey Pegw,6.67, 1
CON korean 027,6.68, 1
CON belarusian 012,6.69, 1
CON chinese 275,6.72, 1
CON lokono 007,6.72, 1
CON western_rey Arih,6.74, 1
CON chinese 186,6.74, 1
CON chinese 286,6.74, 1
CON tongan 007,6.75, 1
CON western_rey Oris,6.77, 1
CON chinese 258,6.77, 1
CON western_rey Tauc1,6.79, 1
CON boorong Tbg,6.8, 1
CON siberian DNe,6.83, 1
CON aztec 002,6.83, 1
CON boorong Lnk,6.83, 1
CON arabic_ancient 2499,6.85, 1
CON western_rey PscN,6.86, 1
CON chinese 181,6.86, 1
CON western_rey Colh,6.87, 1
CON arabic_ancient 1299,6.88, 1
CON chinese 295,6.88, 1
CON japanese_moon_stations 19,6.9, 1
CON chinese 104,6.9, 1
CON chinese 237,6.91, 1
CON western_rey Crvt,6.93, 1
CON chinese 278,6.93, 1
CON chinese 276,6.94, 1
CON western_rey Cygw1,6.95, 1
CON chinese 127,6.95, 1
CON navajo 002,6.96, 1
CON chinese 236,6.99, 1
CON chinese 287,6.99, 1
CON boorong War,7.03, 1
CON western_rey Aqlw2,7.06, 1
CON boorong Ydk,7.08, 1
CON western_rey Ophh,7.09, 1
CON western_rey Arit,7.14, 1
CON boorong Unu,7.17, 1
CON chinese 301,7.18, 1
CON egyptian 011,7.18, 1
CON romanian Psc,7.21, 1
CON lokono 012,7.22, 1
CON western_rey UMah,7.23, 1
CON northern_andes 001,7.25, 1
CON chinese 220,7.26, 1
CON western_rey Cyg,7.28, 1
CON chinese 029,7.32, 1
CON boorong Bun,7.33, 1
CON western_rey Tauh,7.35, 1
CON chinese 090,7.35, 1
CON boorong Cwr,7.35, 1
CON western_rey Ori,7.36, 1
CON western_rey Pegt,7.38, 1
CON chinese 290,7.39, 1
CON western_rey Andc,7.43, 1
CON western_rey Sgrs,7.46, 1
CON western_rey Lupt,7.47, 1
CON egyptian 010,7.47, 1
CON egyptian 028,7.47, 1
CON western_rey Aqra,7.49, 1
CON chinese 080,7.49, 1
CON western_rey Crvb,7.52, 1
CON chinese 214,7.52, 1
CON japanese_moon_stations 08,7.54, 1
CON chinese 067,7.55, 1
CON chinese 285,7.57, 1
CON arabic_arabian_peninsula 2803,7.58, 3
CON arabic_ancient 2899,7.58, 1
CON boorong Otc,7.6, 1
CON western_rey Orib,7.61, 1
CON arabic_arabian_peninsula 4201,7.64, 3
CON western_rey Volw1,7.74, 1
CON western_rey Herc,7.77, 1
CON arabic_al-sufi Sge,7.79, 1
CON western_rey Cygf,7.82, 1
CON western_rey Aqrv,7.86, 1
CON western_rey Cett,7.88, 1
CON western_rey Sgrb,7.9, 1
CON arabic_ancient 0999,7.92, 1
CON western_rey Volw2,7.98, 1
CON arabic_arabian_peninsula 2604,8.0, 3
CON boorong Kul,8.01, 1
CON western_rey Herk,8.13, 1
CON boorong Ktc,8.13, 1
CON egyptian 016,8.2, 1
CON indian N26,8.31, 1
CON northern_andes 002,8.35, 1
CON chinese 057,8.36, 1
CON egyptian 006,8.37, 1
CON navajo 003,8.5, 1
CON western_rey Aqrh,8.54, 1
CON western_rey Crvf,8.84, 1
CON macedonian 008,8.9, 1
CON northern_andes 004,9.73, 1
