Constellation, Average Magnitude, Same Constellations Accross Cultures 
CON korean 097,4.122, 2
CON japanese_moon_stations 15,4.1225000000000005, 1
CON romanian Chi,4.1235, 1
CON indian N09,4.124, 1
CON western For,4.125, 2
CON chinese 033,4.12875, 1
CON chinese 071,4.13, 1
CON western Cha,4.133333333333334, 2
CON korean 034,4.135, 1
CON korean 235,4.138, 1
CON arabic_ancient 1499,4.13875, 3
CON western Lyn,4.141249999999999, 3
CON chinese 113,4.144, 1
CON korean 129,4.148571428571429, 1
CON korean 063,4.15, 2
CON western_hlad Aps,4.15, 2
CON western_rey Aps,4.15, 1
CON chinese 308,4.15125, 1
CON chinese 265,4.152, 1
CON western_hlad Mon,4.152857142857143, 1
CON korean 145,4.1546666666666665, 1
CON korean 119,4.155, 2
CON korean 057,4.1571428571428575, 1
CON arabic_al-sufi Dra,4.158709677419355, 1
CON western_rey Vol,4.161428571428571, 1
CON korean 099,4.162857142857144, 1
CON indian N03,4.16375, 1
CON chinese 269,4.164, 1
CON korean 100,4.17, 1
CON western_rey Dor,4.170000000000001, 2
CON romanian Prb,4.172, 1
CON arabic_al-sufi Cet,4.174545454545453, 1
CON korean 255,4.175, 1
CON western PsA,4.175714285714285, 2
CON korean 093,4.18, 1
CON korean 265,4.18, 1
CON chinese 279,4.18, 1
CON egyptian 006,4.180714285714286, 1
CON western_rey Cnc,4.1816666666666675, 1
CON arabic_ancient 3799,4.19, 2
CON chinese 296,4.198, 1
CON arabic_al-sufi Her,4.199666666666667, 1
CON chinese 218,4.2, 1
CON western_hlad Del,4.204, 1
CON chinese 125,4.208333333333333, 1
CON korean 079,4.21, 1
CON arabic_ancient 6199,4.21, 1
CON western_rey Mon,4.211, 1
CON arabic_al-sufi Boo,4.211818181818182, 1
CON western Sge,4.212000000000001, 2
CON tukano 006,4.21375, 1
CON korean 138,4.214444444444444, 1
CON western_rey Ophf2,4.22, 1
CON chinese 310,4.22, 1
CON chinese 046,4.22111111111111, 1
CON chinese 253,4.2225, 1
CON arabic_arabian_peninsula 3399,4.226666666666667, 3
CON korean 191,4.232, 1
CON arabic_al-sufi Eri,4.232352941176471, 1
CON chinese 215,4.236363636363635, 1
CON western_hlad Cha,4.238, 1
CON chinese 068,4.24, 1
CON korean 061,4.2425, 1
CON western_SnT Mon,4.244444444444444, 1
CON arabic_ancient 2702,4.245, 1
CON western_hlad Sct,4.246666666666667, 1
CON korean 115,4.25, 2
CON egyptian 011,4.25, 1
CON arabic_ancient 4999,4.254, 1
CON western LMi,4.255, 2
CON western_hlad LMi,4.255, 1
CON western Cnc,4.258333333333334, 2
CON indian N02,4.26, 2
CON arabic_arabian_peninsula 2603,4.26, 6
CON korean 102,4.26, 2
CON korean 194,4.26, 1
CON ruelle Mon,4.262, 1
CON chinese 312,4.265000000000001, 1
CON korean 126,4.27, 1
CON korean 166,4.27, 1
CON korean 180,4.2700000000000005, 1
CON ruelle Psc,4.272, 1
CON chinese 087,4.277777777777778, 1
CON western_hlad Lac,4.28, 1
CON western_rey Ant,4.28, 1
CON chinese 126,4.28, 1
CON korean 186,4.281428571428571, 1
CON western_hlad Vol,4.283333333333334, 1
CON chinese 032,4.284285714285715, 1
CON western Lac,4.288333333333333, 2
CON korean 008,4.29, 2
CON western_SnT Psc,4.29, 1
CON korean 257,4.2925, 1
CON chinese 184,4.2925, 1
CON chinese 313,4.2925, 1
CON korean 080,4.295, 2
CON korean 267,4.3, 2
CON western Com,4.3, 5
CON western_hlad Lyn,4.3, 1
CON western_rey Scl,4.3, 1
CON western_SnT Com,4.3, 1
CON boorong Nln,4.303636363636364, 1
CON arabic_ancient 1901,4.305000000000001, 2
CON western_hlad For,4.31, 2
CON western_hlad Pyx,4.3116666666666665, 1
CON book-of-the-stars-almagest SFA,4.3136363636363635, 1
CON chinese 045,4.3149999999999995, 1
CON chinese 135,4.3183333333333325, 1
CON chinese 212,4.3183333333333325, 1
CON chinese 140,4.32, 1
CON boorong Tot,4.32125, 1
CON korean 051,4.3225, 1
CON western_SnT CrA,4.326, 1
CON western Mon,4.327142857142857, 2
CON korean 248,4.3277777777777775, 1
CON arabic_al-sufi Vir,4.3281481481481485, 1
CON korean 232,4.33, 1
CON arabic_al-sufi PsA,4.333333333333333, 1
CON arabic_arabian_peninsula 3299,4.336666666666667, 3
CON korean 075,4.3375, 1
CON western_rey Chae,4.34, 1
CON egyptian 020,4.34, 1
CON ruelle Lib,4.3425, 1
CON chinese 165,4.344285714285714, 1
CON western_SnT Cha,4.346, 1
CON western_rey LMi,4.348, 2
CON korean 084,4.35, 1
CON japanese_moon_stations 26,4.3549999999999995, 1
CON arabic_ancient 1599,4.3566666666666665, 1
CON korean 125,4.36, 2
CON arabic_ancient 2006,4.36, 1
CON western_rey Sct,4.36, 2
CON chinese 058,4.36, 1
CON chinese 066,4.36, 1
CON western Scl,4.363333333333333, 2
CON western_rey Equ,4.363333333333333, 2
CON arabic_ancient 6299,4.364, 1
CON romanian Var,4.364090909090908, 1
CON western_rey Lac,4.364444444444445, 2
CON egyptian 010,4.367857142857143, 1
CON arabic_al-sufi Lib,4.374545454545454, 1
CON arabic_ancient 2506,4.379166666666666, 1
CON korean 004,4.38, 1
CON korean 234,4.38, 1
CON arabic_ancient 4899,4.38, 1
CON chinese 027,4.388571428571429, 1
CON japanese_moon_stations 27,4.392, 1
CON korean 120,4.393076923076922, 1
CON korean 010,4.395, 3
CON arabic_al-sufi Aqr,4.398461538461538, 1
CON korean 133,4.3999999999999995, 1
CON korean 200,4.3999999999999995, 1
CON egyptian 021,4.402000000000001, 1
CON western_SnT Cam,4.4025, 1
CON western_rey Cam,4.402500000000001, 1
CON chinese 257,4.405, 1
CON arabic_ancient 1399,4.406428571428572, 1
CON western_hlad Oct,4.4079999999999995, 1
CON korean 076,4.412000000000001, 1
CON korean 208,4.4125, 2
CON arabic_ancient 2799,4.416, 1
CON korean 103,4.418666666666667, 1
CON western_hlad Scl,4.42, 1
CON western_SnT Scl,4.42, 1
CON chinese 182,4.4275, 1
CON western_hlad Cam,4.4366666666666665, 1
CON korean 188,4.438571428571429, 1
CON korean 231,4.44, 1
CON western_rey Cae,4.44, 1
CON arabic_al-sufi Crt,4.441428571428571, 1
CON western Crt,4.44375, 3
CON western_hlad Crt,4.44375, 1
CON ruelle Crt,4.44375, 1
CON western_SnT Crt,4.44375, 1
CON arabic_al-sufi SFB,4.446363636363637, 1
CON romanian Sec,4.446666666666666, 1
CON western_hlad Psc,4.4475, 1
CON western Psc,4.453888888888889, 1
CON korean 083,4.455, 1
CON western_hlad CrA,4.457142857142858, 1
CON arabic_ancient 0499,4.4573333333333345, 1
CON western_hlad Tel,4.461666666666667, 1
CON western_hlad Nor,4.4625, 3
CON western_rey Psc,4.463157894736843, 1
CON western_hlad Ant,4.463333333333333, 2
CON korean 215,4.4712499999999995, 1
CON arabic_ancient 2499,4.475, 1
CON chinese 090,4.475, 1
CON western_rey Sex,4.48, 1
CON arabic_arabian_peninsula 2550,4.485999999999999, 3
CON chinese 134,4.489999999999999, 1
CON chinese 012,4.491250000000001, 1
CON chinese 050,4.497142857142856, 1
CON korean 205,4.5, 2
CON arabic_ancient 2501,4.5, 2
CON chinese 195,4.5, 1
CON arabic_ancient 5199,4.501666666666666, 1
CON western_SnT Vul,4.505000000000001, 1
CON korean 211,4.506666666666667, 1
CON chinese 272,4.51, 1
CON chinese 038,4.5125, 1
CON western Nor,4.5175, 2
CON chinese 262,4.5200000000000005, 1
CON korean 043,4.523333333333333, 1
CON ruelle Cnc,4.523333333333333, 1
CON chinese 209,4.525555555555555, 1
CON boorong Bun,4.5285714285714285, 1
CON western_rey Boop,4.53, 1
CON korean 058,4.531666666666667, 1
CON chinese_contemporary Psc,4.536111111111111, 1
CON chinese 246,4.5375000000000005, 1
CON chinese 157,4.541428571428571, 1
CON korean 031,4.5424999999999995, 1
CON arabic_al-sufi Can,4.5475, 1
CON western_rey Cha,4.548, 1
CON western Vul,4.550000000000001, 3
CON chinese 220,4.550000000000001, 1
CON chinese 098,4.5525, 1
CON korean 160,4.553333333333334, 1
CON korean 029,4.555, 1
CON chinese 284,4.556666666666667, 1
CON chinese 173,4.5575, 1
CON tukano 004,4.558, 1
CON korean 204,4.56, 2
CON korean 164,4.5625, 1
CON western Equ,4.5625, 4
CON korean 242,4.57, 1
CON macedonian 014,4.5725, 1
CON korean 024,4.5725, 1
CON korean 002,4.575, 2
CON korean 247,4.576666666666667, 1
CON chinese 256,4.579999999999999, 1
CON korean 087,4.58, 1
CON chinese 248,4.58, 1
CON western_hlad Vul,4.584, 1
CON hawaiian_starlines MAK,4.585, 1
CON korean 070,4.585, 2
CON arabic_al-sufi SHr,4.5892307692307694, 1
CON korean 030,4.59, 1
CON ruelle Vul,4.5920000000000005, 1
CON western_hlad Cnc,4.593999999999999, 1
CON chinese 216,4.595, 1
CON korean 151,4.5975, 2
CON chinese 229,4.6, 1
CON arabic_ancient 6099,4.6036363636363635, 1
CON korean 139,4.605, 1
CON chinese 156,4.606, 1
CON korean 157,4.61, 1
CON boorong Wjl,4.611666666666666, 1
CON chinese 206,4.6160000000000005, 1
CON western Cam,4.617999999999999, 2
CON arabic_ancient 5899,4.618333333333333, 1
CON japanese_moon_stations 10,4.6225, 1
CON korean 066,4.6225000000000005, 1
CON chinese 086,4.6274999999999995, 1
CON chinese 052,4.63, 1
CON boorong Won,4.63, 1
CON western_rey Del,4.634444444444444, 1
CON indian N08,4.635, 1
CON ruelle Cam,4.635, 1
CON arabic_al-sufi Del,4.635, 1
CON boorong War,4.636, 1
CON chinese 306,4.636666666666667, 1
CON chinese 030,4.638333333333334, 1
CON western Sct,4.640000000000001, 2
CON korean 190,4.651578947368422, 1
CON arabic_ancient 4199,4.652, 1
CON chinese 043,4.652727272727272, 1
CON korean 049,4.66, 2
CON western_rey CrA,4.661250000000001, 1
CON chinese 271,4.6625, 1
CON chinese 242,4.6669230769230765, 1
CON boorong Ktc,4.667999999999999, 1
CON chinese 294,4.67, 1
CON chinese 147,4.673333333333333, 1
CON chinese 074,4.673333333333334, 1
CON korean 263,4.68, 1
CON chinese 105,4.68, 1
CON western_rey Com,4.681666666666667, 1
CON korean 121,4.6825, 1
CON chinese 201,4.6850000000000005, 1
CON korean 261,4.686, 1
CON korean 144,4.6866666666666665, 1
CON korean 233,4.688000000000001, 1
CON chinese 199,4.6925, 1
CON korean 069,4.695, 1
CON korean 239,4.7, 1
CON arabic_al-sufi CrA,4.702307692307691, 1
CON chinese 055,4.703333333333333, 1
CON korean 011,4.705, 1
CON korean 266,4.705, 1
CON chinese 163,4.705, 1
CON western_hlad Equ,4.71, 1
CON chinese 016,4.71, 1
CON chinese 228,4.71875, 1
CON arabic_al-sufi Cap,4.7224, 1
CON chinese 316,4.724444444444444, 1
CON korean 067,4.725, 1
CON western Hor,4.726666666666667, 2
CON korean 212,4.73, 1
CON korean 179,4.731666666666667, 1
CON korean 085,4.7317647058823535, 1
CON chinese 017,4.7325, 1
CON romanian Psc,4.734285714285714, 1
CON korean 184,4.7375, 1
CON korean 147,4.743333333333333, 1
CON chinese 174,4.75, 1
CON western Ant,4.755000000000001, 2
CON western CrA,4.756, 2
CON western Mic,4.756666666666667, 2
CON chinese 169,4.76, 1
CON chinese 233,4.76, 1
CON chinese 274,4.76, 1
CON chinese 249,4.7733333333333325, 1
CON western_hlad Cae,4.775, 2
CON arabic_ancient 1902,4.7775, 2
CON western Sex,4.78, 2
CON korean 078,4.784000000000001, 1
CON korean 105,4.7871428571428565, 1
CON korean 094,4.789, 1
CON korean 162,4.79, 1
CON chinese 191,4.79, 1
CON chinese 153,4.791666666666667, 1
CON korean 198,4.792, 1
CON arabic_al-sufi Sge,4.795000000000001, 1
CON korean 146,4.799999999999999, 1
CON chinese 085,4.805, 1
CON western_rey Virf,4.81, 1
CON chinese 141,4.8133333333333335, 1
CON korean 068,4.8149999999999995, 1
CON korean 176,4.8149999999999995, 2
CON chinese 007,4.815, 1
CON korean 041,4.819999999999999, 1
CON korean 065,4.82, 2
CON western_rey Ophb,4.82, 1
CON korean 074,4.826666666666666, 1
CON aztec 002,4.831428571428572, 1
CON korean 142,4.834285714285714, 1
CON western_hlad Mic,4.836, 1
CON arabic_al-sufi Psc,4.83764705882353, 1
CON arabic_arabian_peninsula 2810,4.845, 3
CON boorong Lnk,4.848181818181818, 1
CON ruelle Com,4.849090909090909, 1
CON boorong Yur,4.85, 1
CON western Cae,4.8500000000000005, 2
CON korean 050,4.85076923076923, 1
CON northern_andes 003,4.850909090909091, 1
CON siberian DNe,4.85875, 1
CON chinese 158,4.86, 1
CON korean 054,4.862222222222223, 1
CON arabic_ancient 3004,4.864166666666667, 1
CON chinese 302,4.866666666666666, 1
CON chinese 231,4.87625, 1
CON western_hlad Sex,4.876666666666667, 1
CON arabic_arabian_peninsula 4201,4.8774999999999995, 3
CON korean 048,4.885, 1
CON korean 199,4.885000000000001, 1
CON korean 072,4.89, 1
CON korean 156,4.89, 1
CON western_rey Mic,4.89, 1
CON korean 221,4.890000000000001, 1
CON western_hlad Hor,4.892, 1
CON tukano 005,4.8970909090909105, 1
CON macedonian 011,4.897500000000001, 1
CON korean 005,4.9, 2
CON chinese 193,4.9025, 1
CON chinese 029,4.908666666666666, 1
CON korean 131,4.91, 1
CON chinese 176,4.91, 1
CON lokono 012,4.913939393939394, 1
CON arabic_al-sufi Ari,4.915, 1
CON korean 140,4.92, 1
CON arabic_ancient 0601,4.92, 1
CON boorong Wkr,4.92, 1
CON western_hlad CVn,4.925000000000001, 1
CON chinese 171,4.925714285714285, 1
CON chinese 131,4.93, 1
CON chinese 118,4.937777777777779, 1
CON arabic_ancient 1099,4.938000000000001, 1
CON korean 170,4.94, 1
CON korean 127,4.944, 1
CON chinese 178,4.945, 1
CON korean 182,4.95, 1
CON korean 222,4.95, 1
CON korean 098,4.952500000000001, 1
CON western_SnT Sex,4.955, 1
CON chinese 250,4.96, 1
CON chinese 172,4.960000000000001, 1
CON chinese 119,4.961666666666667, 1
CON korean 091,4.963414634146342, 1
CON chinese 226,4.965, 1
CON korean 210,4.97, 2
CON arabic_ancient 2703,4.971428571428571, 1
CON arabic_ancient 1903,4.9750000000000005, 2
CON korean 230,4.976666666666666, 1
CON western_SnT Hor,4.9766666666666675, 1
CON korean 175,4.977500000000001, 1
CON korean 001,4.98, 1
CON korean 260,4.9825, 1
CON chinese 275,4.993333333333333, 1
CON korean 060,4.994285714285715, 1
CON korean 128,4.994999999999999, 1
CON chinese 292,4.995, 1
CON chinese 224,4.9959999999999996, 1
CON chinese 180,4.997999999999999, 1
CON western_rey Cygn,5.0, 1
CON korean 223,5.01, 1
CON korean 077,5.012857142857143, 1
CON chinese 287,5.013333333333333, 1
CON chinese 079,5.015000000000001, 1
CON korean 064,5.0200000000000005, 1
CON korean 045,5.025, 1
CON korean 089,5.03, 1
CON western_rey Cenf,5.03, 1
CON lokono 007,5.0312, 1
CON korean 096,5.04, 1
CON western_rey Cenb,5.04, 1
CON korean 015,5.046666666666667, 1
CON chinese 049,5.05, 1
CON chinese 240,5.0520000000000005, 1
CON korean 262,5.0525, 1
CON chinese 189,5.068333333333333, 1
CON korean 259,5.075, 1
CON chinese 142,5.078333333333333, 1
CON western_rey Men,5.08, 1
CON korean 189,5.098333333333334, 1
CON chinese 230,5.1, 1
CON boorong Ydk,5.1, 1
CON chinese 286,5.101999999999999, 1
CON korean 056,5.113333333333333, 1
CON chinese 035,5.116250000000001, 1
CON chinese 037,5.12, 1
CON chinese 115,5.12, 1
CON chinese 307,5.128333333333333, 1
CON western_hlad Men,5.13, 1
CON chinese 241,5.136666666666667, 1
CON boorong Cwr,5.13875, 1
CON korean 123,5.14, 2
CON western_rey Carh,5.14, 1
CON chinese 061,5.14, 1
CON chinese 075,5.141428571428571, 1
CON chinese 190,5.155, 1
CON chinese 235,5.163333333333334, 1
CON korean 264,5.175, 1
CON chinese 261,5.176666666666667, 1
CON chinese 188,5.18, 1
CON korean 106,5.186, 1
CON tukano 003,5.188947368421052, 1
CON western_SnT Men,5.1899999999999995, 1
CON korean 135,5.194, 1
CON chinese 056,5.2, 1
CON chinese 132,5.201428571428571, 1
CON indian N27,5.21, 1
CON chinese 259,5.21, 1
CON korean 217,5.233333333333333, 1
CON korean 111,5.236, 1
CON chinese 139,5.2375, 1
CON chinese 270,5.2425, 1
CON korean 209,5.25, 1
CON chinese 120,5.250000000000001, 1
CON navajo 003,5.2538888888888895, 1
CON chinese 129,5.255, 1
CON chinese 036,5.256666666666667, 1
CON chinese 073,5.256666666666667, 1
CON chinese 318,5.258888888888889, 1
CON korean 206,5.26, 2
CON korean 134,5.266666666666667, 1
CON korean 258,5.2675, 1
CON chinese 223,5.27, 1
CON chinese 102,5.2725, 1
CON western_rey Leoh,5.29, 1
CON chinese 219,5.2925, 1
CON chinese 301,5.294, 1
CON western_rey Ophf1,5.3, 1
CON korean 224,5.300000000000001, 1
CON boorong Tbg,5.315, 1
CON chinese 268,5.32, 1
CON korean 113,5.326666666666667, 1
CON chinese 297,5.327500000000001, 1
CON chinese 152,5.33, 1
CON korean 136,5.343333333333334, 1
CON korean 228,5.3500000000000005, 1
CON chinese 080,5.351111111111112, 1
CON western Men,5.355, 2
CON arabic_ancient 0999,5.355, 1
CON chinese 064,5.3566666666666665, 1
CON western_rey Virh,5.36, 1
CON chinese 101,5.364285714285714, 1
CON korean 073,5.365, 1
CON chinese 196,5.365, 1
CON korean 218,5.376666666666668, 1
CON chinese 200,5.385, 1
CON tukano 009,5.3925, 1
CON korean 059,5.3933333333333335, 1
CON korean 203,5.3999999999999995, 1
CON western_rey Aqlt,5.4, 1
CON korean 143,5.40125, 1
CON arabic_ancient 2811,5.404166666666668, 1
CON korean 016,5.410000000000001, 1
CON chinese 290,5.410666666666669, 1
CON western_rey Cenl,5.42, 1
CON chinese 267,5.42, 1
CON lokono 006,5.425263157894736, 1
CON korean 243,5.43, 2
CON chinese 273,5.43, 1
CON chinese 143,5.433333333333334, 1
CON boorong Otc,5.43375, 1
CON chinese 181,5.4350000000000005, 1
CON chinese 053,5.455000000000001, 1
CON western_rey Tauc2,5.46, 1
CON chinese 185,5.46, 1
CON western_SnT Mic,5.475, 1
CON chinese 198,5.484999999999999, 1
CON western_rey Booh,5.52, 1
CON chinese 295,5.522500000000001, 1
CON korean 110,5.531999999999999, 1
CON western_rey Leot,5.54, 1
CON chinese 186,5.546250000000001, 1
CON western_rey Colw,5.55, 1
CON chinese 207,5.55, 1
CON chinese 315,5.55, 1
CON korean 213,5.555, 1
CON northern_andes 001,5.556875, 1
CON indian N26,5.57, 1
CON chinese 070,5.57, 1
CON chinese 117,5.57, 1
CON korean 036,5.58, 1
CON chinese 247,5.58, 1
CON chinese 254,5.58, 1
CON arabic_arabian_peninsula 3005,5.598, 3
CON western_rey Aqlw1,5.6, 1
CON chinese 225,5.6049999999999995, 1
CON macedonian 012,5.609999999999999, 1
CON chinese 137,5.615, 1
CON arabic_arabian_peninsula 2803,5.6175, 3
CON belarusian 012,5.62, 1
CON korean 271,5.625, 1
CON western_rey Opha2,5.63, 1
CON korean 245,5.6433333333333335, 1
CON chinese 214,5.646666666666666, 1
CON korean 241,5.648000000000001, 1
CON chinese 057,5.66, 1
CON chinese 127,5.6825, 1
CON korean 240,5.708, 1
CON chinese 088,5.7125, 1
CON chinese 277,5.722499999999999, 1
CON northern_andes 002,5.746818181818181, 1
CON boorong Unu,5.748636363636362, 1
CON korean 272,5.764285714285714, 1
CON chinese 236,5.764615384615384, 1
CON korean 238,5.772857142857142, 1
CON korean 047,5.79, 1
CON chinese 114,5.79, 1
CON chinese 255,5.816, 1
CON western_rey Colt,5.82, 1
CON boorong Kul,5.825000000000001, 1
CON chinese 116,5.83, 1
CON western_rey Scot,5.84, 1
CON chinese 203,5.85, 1
CON western_rey Hyat,5.86, 1
CON western_rey Scoc,5.86, 1
CON western_rey Cena1,5.88, 1
CON western_rey Aqlh,5.89, 1
CON western_rey Boob,5.9, 1
CON chinese 154,5.907500000000001, 1
CON western_rey Cenh,5.93, 1
CON western_rey Sgrh,5.96, 1
CON western_rey Scoe,5.98, 1
CON chinese 175,5.995, 1
CON chinese 289,6.0, 1
CON arabic_arabian_peninsula 2604,6.07, 3
CON macedonian 009,6.105, 1
CON western_rey Cena2,6.14, 1
CON chinese 197,6.16, 1
CON chinese 237,6.172499999999999, 1
CON chinese 067,6.186, 1
CON western_rey Cygw2,6.21, 1
CON chinese 285,6.215, 1
CON chinese 258,6.234999999999999, 1
CON western_rey SerHh,6.26, 1
CON western_rey Taut,6.29, 1
CON western_rey Pegh,6.33, 1
CON western_rey PscW,6.33, 1
CON western_rey Pupt,6.34, 1
CON western_rey Hyah,6.35, 1
CON korean 177,6.39, 1
CON western_rey Lupe,6.41, 1
CON korean 027,6.496666666666667, 1
CON western_rey Oric,6.54, 1
CON northern_andes 004,6.570909090909091, 1
CON western_rey Pegw,6.67, 1
CON western_rey Arih,6.74, 1
CON western_rey Oris,6.77, 1
CON western_rey Tauc1,6.79, 1
CON western_rey PscN,6.86, 1
CON western_rey Colh,6.87, 1
CON chinese 104,6.9, 1
CON egyptian 028,6.91, 1
CON western_rey Crvt,6.93, 1
CON chinese 276,6.94, 1
CON western_rey Cygw1,6.95, 1
CON western_rey Aqlw2,7.06, 1
CON western_rey Ophh,7.09, 1
CON western_rey Arit,7.14, 1
CON western_rey UMah,7.23, 1
CON western_rey Tauh,7.35, 1
CON western_rey Pegt,7.38, 1
CON western_rey Andc,7.43, 1
CON western_rey Sgrs,7.46, 1
CON western_rey Lupt,7.47, 1
CON western_rey Aqra,7.49, 1
CON western_rey Crvb,7.52, 1
CON western_rey Orib,7.61, 1
CON western_rey Volw1,7.74, 1
CON western_rey Herc,7.77, 1
CON western_rey Cygf,7.82, 1
CON western_rey Aqrv,7.86, 1
CON western_rey Cett,7.88, 1
CON western_rey Sgrb,7.9, 1
CON macedonian 008,7.965, 1
CON western_rey Volw2,7.98, 1
CON western_rey Herk,8.13, 1
CON western_rey Aqrh,8.54, 1
CON western_rey Crvf,8.84, 1
