Constellation, Average Equal Spacing, Same Constellations Accross Cultures 
CON arabic_ancient 4205,0.05222929734640028, 1
CON korean 237,0.05226326223503931, 1
CON chinese 232,0.052802668522169874, 1
CON korean 062,0.0528125140008092, 1
CON western Pav,0.053192255268846744, 3
CON chinese 081,0.05354204433962671, 1
CON japanese_moon_stations 03,0.05427985207135577, 1
CON arabic_al-sufi Ari,0.05440174485127149, 1
CON japanese_moon_stations 22,0.05450761867848082, 1
CON tupi 006,0.05457106635595003, 1
CON western_rey Cnc,0.05499222168563671, 1
CON western Nor,0.05504221759624331, 2
CON chinese 087,0.05520494791448016, 1
CON korean 064,0.0552719189286108, 1
CON western Mic,0.055381241650320934, 2
CON romanian Chi,0.05555881279857516, 1
CON arabic_arabian_peninsula 2808,0.05619555839457189, 3
CON western_hlad Cet,0.056214327315658744, 1
CON ruelle Ara,0.05638234055067026, 1
CON chinese 225,0.056507687503014103, 1
CON chinese 015,0.05659043393341179, 1
CON chinese 154,0.0566624853233455, 1
CON korean 164,0.05677559637022084, 1
CON western_hlad Hyi,0.05690304343824487, 2
CON arabic_arabian_peninsula 2810,0.057316534809081554, 3
CON western_hlad UMa,0.05735722466745375, 1
CON western_hlad Tau,0.057412400824334006, 1
CON tupi 007,0.057412400824334006, 1
CON chinese 036,0.05810813589074487, 1
CON arabic_arabian_peninsula 3099,0.05814058649597165, 3
CON boorong Tot,0.05828734435093348, 1
CON boorong Wjl,0.05850867330761088, 1
CON ruelle Cet,0.058519581181398724, 1
CON egyptian 025,0.05863331224462842, 1
CON arabic_arabian_peninsula 3399,0.058717880250959864, 3
CON chinese 181,0.05879629549637197, 1
CON korean 211,0.05881286821285997, 1
CON ruelle Vul,0.05886478056655314, 1
CON chinese 139,0.05898668282620642, 1
CON blackfoot 004,0.05914684577030985, 2
CON korean 217,0.05923124815139528, 1
CON western Aur,0.05941896012469012, 4
CON western_rey Cam,0.05958506702595606, 1
CON arabic_ancient 1499,0.05977553149080148, 3
CON boorong Krk,0.05981422419731894, 1
CON western_hlad Ori,0.05997838017144979, 1
CON western Lac,0.060122456505022494, 2
CON western_SnT Crt,0.060306773727993396, 1
CON western_rey Del,0.06033472359638181, 1
CON korean 044,0.06037418541292516, 1
CON aztec 004,0.06064424171037843, 1
CON arabic_ancient 4199,0.06072829884448692, 1
CON western Lib,0.0607802528306316, 2
CON korean 178,0.060957834457684344, 1
CON anutan 009,0.060993345258885195, 1
CON macedonian 005,0.06110031147413723, 1
CON western_hlad Her,0.06115403938668563, 1
CON western_hlad Car,0.06155477184507212, 1
CON arabic_ancient 2703,0.06160900792896262, 1
CON arabic_ancient 2799,0.06160900792896262, 1
CON korean 161,0.06172976436962056, 2
CON western UMa,0.06173056851887204, 3
CON korean 016,0.06266738725143796, 1
CON chinese 066,0.06271625055932645, 1
CON western_rey Mus,0.06306760558808396, 1
CON arabic_ancient 4799,0.0632112062755114, 1
CON korean 056,0.06322522874775632, 1
CON romanian Pmi,0.06364333974090608, 1
CON western Cnc,0.0643154440631766, 2
CON chinese 029,0.06432419851251296, 1
CON tukano 002,0.06458329458086481, 1
CON korean 187,0.06496244747953933, 1
CON korean 145,0.06499733476472144, 1
CON western Cyg,0.06518393024685526, 3
CON korean 228,0.06540789781894964, 1
CON western Boo,0.06559782693722485, 3
CON tukano 010,0.06560728846608542, 2
CON western Cap,0.0656212695907262, 3
CON western_hlad Phe,0.06582746781690316, 1
#CON indian N22,0.06631897213727783, 7
CON korean 122,0.066329393267851, 2
CON chinese 022,0.06670476932923869, 1
CON western Ori,0.06717719698566173, 2
CON egyptian 012,0.06744343110138316, 1
CON sardinian 004,0.06776556922927311, 2
CON korean 001,0.06809931497878274, 1
CON ruelle Tuc,0.0682035431711701, 1
CON boorong War,0.06832841882562994, 1
CON korean 189,0.0688091211996487, 1
CON ruelle Ori,0.06917992783145972, 1
CON chinese 089,0.06923624385896258, 1
CON western_hlad Ara,0.06942104878844699, 1
#CON macedonian 016,0.06963568340526435, 10
CON western_hlad Lup,0.07000167490739022, 1
CON chinese 261,0.07049078271659942, 1
CON western Cae,0.07049414975394974, 2
CON western_SnT Sgr,0.07049565282746252, 1
CON korean 201,0.07072210545746217, 2
CON korean 023,0.07075332687132109, 1
CON western_rey Vol,0.07107623023605145, 1
CON korean 179,0.07121714214280368, 1
CON arabic_ancient 2006,0.07133213515997727, 1
CON mandar 001,0.07166402328164172, 1
CON western Vol,0.07167331823506859, 2
CON western And,0.07207126605410652, 3
CON chinese 062,0.07259039387575071, 1
CON chinese 088,0.07288577331237264, 1
CON western_rey Cas,0.07341244439695636, 1
CON western_SnT Cyg,0.07341641468468843, 1
CON romanian Cat,0.07349273937473393, 1
CON western Sge,0.07362175328192769, 2
CON arabic_arabian_peninsula 4299,0.07362553273520281, 1
CON romanian Sar,0.073803615683898, 1
CON korean 186,0.07395250394855277, 1
CON western_SnT Lup,0.07424892548555298, 1
CON korean 199,0.0745657198360846, 1
CON western_hlad Lep,0.07511569575493494, 1
CON chinese 165,0.07584706963534318, 1
CON western_SnT Phe,0.07608166231228765, 1
CON western_SnT Vir,0.07618998612794006, 1
CON korean 216,0.07630036395284447, 1
CON chinese 075,0.07630512194333006, 1
CON western_rey Vir,0.07638345593136889, 1
CON korean 198,0.07642207666367119, 1
CON korean 232,0.07650158443684996, 1
CON western_rey Phe,0.07662910106600765, 1
CON western_hlad Crt,0.07665918808996788, 1
