Constellation, Min Colinearity, Same Constellations Accross Cultures 
CON blackfoot 003,3.1157709002044887, 1
CON lokono 011,3.1155441276138527, 1
CON egyptian 016,3.115345510333191, 1
CON western_rey Per,3.1149356621132362, 1
CON chinese 055,3.1140968790366097, 1
CON western_hlad Vir,3.113970652689466, 1
CON arabic_ancient 4203,3.113856323586407, 1
CON chinese 069,3.113856323586407, 1
CON tukano 005,3.1129703080584235, 1
CON ruelle Oph,3.1119992226120443, 1
CON chinese 075,3.111456130590582, 1
CON ruelle Lib,3.1113283377789345, 1
CON ruelle UMa,3.1110616002277904, 1
CON chinese 054,3.1109778408168647, 1
CON ruelle Hya,3.110595603454659, 1
CON egyptian 007,3.110123961811572, 1
CON arabic_ancient 6299,3.109667768116616, 1
CON western_hlad Psc,3.109667768116616, 1
CON korean 121,3.109661089244845, 1
CON arabic_ancient 1399,3.1089150605612073, 1
CON arabic_al-sufi Ari,3.1086598707624757, 1
CON maori 006,3.108095720871221, 1
CON ruelle Boo,3.1074407037428227, 1
CON egyptian 017,3.1074407037428227, 1
CON western And,3.1073303495509035, 3
CON romanian Jgb,3.1073303495509035, 1
CON navajo 004,3.1073303495509035, 1
CON western_SnT And,3.1073303495509035, 1
CON egyptian 006,3.10725125310409, 1
CON korean 164,3.1063274230893927, 1
CON western_rey Mon,3.1063274230893927, 1
CON western_SnT Mon,3.1063274230893927, 1
CON arabic_al-sufi Aqr,3.1062656479957913, 1
CON ruelle Gem,3.105392385091649, 1
CON aztec 003,3.105392385091649, 1
CON book-of-the-stars-almagest SFA,3.105322569056495, 1
CON bugis 006,3.105190904591669, 1
CON korean 085,3.1051763983433216, 1
CON chinese 206,3.1051763983433216, 1
CON chinese 215,3.1046617488013455, 1
CON western_hlad Col,3.103564606447055, 2
CON western_rey Col,3.103564606447055, 1
CON chinese 254,3.103150699525686, 1
CON ruelle CarPupVel,3.102889859693981, 1
CON chinese 101,3.102859382270327, 1
CON western_hlad UMa,3.10217999707296, 1
CON western_rey Uma,3.10217999707296, 1
CON navajo 001,3.10217999707296, 1
CON western_SnT UMa,3.10217999707296, 1
CON chinese 184,3.102179978200315, 1
CON korean 028,3.101624026923992, 3
CON romanian Sco,3.101624026923992, 1
CON boorong Djt,3.101624026923992, 1
CON western Sgr,3.101225185332524, 2
CON korean 027,3.100918605592464, 1
CON arabic_ancient 6099,3.1007304049036706, 1
CON korean 022,3.1006623426992075, 1
CON western_SnT Leo,3.1004067200986483, 1
CON arabic_al-sufi Her,3.099548179948508, 1
CON chinese 165,3.099548179948508, 1
CON western_SnT Her,3.099548179948508, 1
CON chinese 043,3.098810502816074, 1
CON arabic_al-sufi CrA,3.0986463595974514, 1
CON western_rey TrA,3.098574664524513, 2
CON ruelle Aqr,3.098426058348764, 1
CON arabic_ancient 3004,3.0982552443257854, 1
CON chinese 236,3.0982031909761942, 1
CON egyptian 003,3.0981141067620146, 1
CON western_hlad Oph,3.0980779501496505, 1
CON tupi 003,3.097054750394037, 1
CON chinese 036,3.096872387270611, 1
CON western Pav,3.096704215577721, 3
CON western_hlad Pav,3.096704215577721, 1
CON ruelle Pav,3.096704215577721, 1
CON western_SnT Pav,3.096704215577721, 1
CON western_rey Psc,3.0963936070803952, 1
CON western_SnT Psc,3.0963936070803952, 1
CON western_rey Cen,3.09597393953365, 1
CON korean 114,3.095903669983819, 1
CON western_hlad Per,3.095903669983819, 1
CON romanian Bar,3.095903669983819, 1
CON chinese 213,3.095903669983819, 1
CON western_SnT Per,3.095903669983819, 1
CON macedonian 005,3.0948078488397317, 1
CON western Boo,3.094707683322663, 3
CON western_rey Boo,3.094707683322663, 1
CON boorong Mar,3.094707683322663, 1
CON western_SnT Boo,3.094707683322663, 1
CON chinese 171,3.0946587407255195, 1
CON western Pyx,3.092653149940231, 2
CON western_hlad Pyx,3.092653149940231, 1
CON western_rey Pyx,3.092653149940231, 2
CON chinese 221,3.092653149940231, 1
CON anutan 001,3.0924226253944687, 1
CON western_SnT Gru,3.0924226253944687, 1
CON chinese 220,3.092193047705444, 1
CON korean 271,3.092187366979801, 1
CON korean 232,3.0918947064234583, 1
CON arabic_ancient 2899,3.0913174289988037, 1
CON western_rey Pup,3.0902498404242444, 1
CON western_SnT Pup,3.0902498404242444, 1
CON korean 051,3.0902192505358044, 1
CON western_rey Del,3.090112082369559, 1
CON arabic_al-sufi Del,3.090112082369559, 1
CON western Del,3.0898761559535277, 4
CON western_hlad Del,3.0898761559535277, 1
CON anutan 007,3.0898761559535277, 1
CON lokono 006,3.08929421389187, 1
CON korean 251,3.0886023867485055, 1
CON egyptian 011,3.0884513860945253, 1
CON boorong Bun,3.08833891589983, 1
CON chinese 049,3.0882975112440105, 1
CON hawaiian_starlines LUP,3.0871255984936226, 1
CON arabic_al-sufi SHr,3.0865035339524414, 1
CON ruelle Phe,3.0863214779018855, 1
CON chinese 022,3.0862023025857726, 1
CON western_SnT Ser,3.0862023025857726, 1
CON western_hlad Vul,3.0859751130785855, 1
CON arabic_al-sufi Cyg,3.0859062504806003, 1
CON western_SnT Aql,3.085809600301832, 1
CON chinese 252,3.085526435977985, 1
CON romanian Chi,3.0854367717591193, 1
CON arabic_al-sufi Cet,3.0854367717591193, 1
CON korean 086,3.085420261769256, 1
CON ruelle Peg,3.085420261769256, 1
CON chinese 136,3.085420261769256, 1
CON western_rey Lup,3.0853881676595085, 1
CON arabic_al-sufi Cen,3.085266896390323, 1
CON sami 002,3.084399124451418, 1
CON korean 099,3.084219277436388, 1
CON western_SnT Cap,3.083530024979016, 1
CON korean 014,3.0822081433512856, 2
CON arabic_ancient 1101,3.0822081433512856, 1
CON arabic_ancient 1199,3.0822081433512856, 1
CON arabic_al-sufi Boo,3.0822081433512856, 1
CON korean 105,3.0817097064959955, 1
CON arabic_ancient 4999,3.080780173928704, 1
CON korean 202,3.07932926675174, 2
CON arabic_ancient 5399,3.0783341593888713, 1
CON korean 054,3.0781651550534357, 1
CON western_hlad Sge,3.0781651550534357, 3
CON ruelle Sge,3.0781651550534357, 1
CON romanian Vca,3.0778497456884497, 1
CON northern_andes 001,3.077836796708836, 1
CON western Cyg,3.077698372924279, 3
CON romanian Pma,3.077698372924279, 1
CON sardinian 009,3.077698372924279, 1
CON boorong Tbg,3.0772726345873194, 1
CON korean 200,3.0770117480210355, 1
CON western Aql,3.076677315234931, 2
CON ruelle Aql2,3.076677315234931, 1
CON western_rey Aql,3.076677315234931, 1
CON arabic_al-sufi Gem,3.0766018559757256, 1
CON western_hlad Lyn,3.0764928475038764, 1
CON western Aqr,3.0762403292920877, 2
CON western_hlad Aqr,3.0762403292920877, 1
CON romanian Psc,3.075921849284486, 1
CON arabic_al-sufi PsA,3.075110607102898, 1
CON western_hlad PsA,3.0731252149633215, 1
CON ruelle PsA,3.0731252149633215, 1
CON western_rey PsA,3.0731252149633215, 2
CON romanian Var,3.0729688456460935, 1
CON western_SnT Cen,3.0728525910616638, 1
CON western_SnT Car,3.072141313673266, 1
CON korean 252,3.071352147706886, 2
CON arabic_ancient 1502,3.071352147706886, 1
CON korean 167,3.0712599516105423, 1
CON korean 075,3.071054272385863, 1
CON western_rey Her,3.070191232108446, 1
CON western Ori,3.069476778734685, 2
CON western_hlad Gru,3.0670725238069827, 1
CON western_rey Eri,3.0669408507337352, 1
CON western_SnT Eri,3.0669408507337352, 1
CON chinese 307,3.0650054785713166, 1
CON northern_andes 003,3.0642817927596284, 1
CON korean 033,3.064041447764174, 1
CON ruelle Com,3.0634300849179237, 1
CON western_rey Peg,3.063284802193944, 1
CON chinese 270,3.063085267383973, 1
#CON indian N13,3.062657940916332, 2
CON korean 192,3.062657940916332, 3
CON ruelle Crv,3.062657940916332, 2
CON western_rey Crv,3.062657940916332, 1
CON chinese 031,3.062657940916332, 1
CON korean 116,3.0623154250826694, 1
CON chinese 062,3.0623154250826694, 1
CON western_hlad Cet,3.0613359704488903, 1
CON chinese 242,3.0613359704488903, 1
CON chinese 103,3.060894736368963, 1
CON western_rey Cap,3.060681615936831, 1
CON boorong Bbg,3.0606707563041806, 1
CON arabic_al-sufi Tau,3.0604000275321757, 1
CON ruelle Lyn,3.0600159188602594, 1
CON chinese 066,3.058855582381646, 1
CON western Cap,3.0584509662177384, 3
CON romanian Cap,3.0584509662177384, 1
CON western_rey Phe,3.0583294242927432, 1
CON tukano 011,3.0583028244053008, 6
#CON macedonian 001,3.0583028244053008, 11
CON blackfoot 001,3.0583028244053008, 1
CON bugis 005,3.0583028244053008, 1
CON korean 185,3.0582105910490727, 1
CON arabic_ancient 1501,3.057600706279871, 1
CON korean 186,3.057220648218384, 1
CON sami 001,3.056929460885878, 1
CON western Cam,3.054983697773056, 2
CON korean 143,3.05495290510251, 1
CON arabic_ancient 5999,3.0543679987540626, 1
CON chinese 301,3.050455587487018, 1
CON ruelle Leo,3.0501758912202717, 1
CON korean 183,3.0499515939061146, 1
CON japanese_moon_stations 24,3.0499515939061146, 1
CON tukano 002,3.0491653139219634, 1
CON arabic_ancient 2811,3.0487744803924177, 1
CON chinese 286,3.0482365691094793, 1
CON korean 236,3.046851960007964, 2
CON western_rey Lac,3.046706593575988, 2
CON western Sct,3.046657339213502, 2
CON chinese 057,3.0462096438541795, 1
CON chinese 267,3.0455288841278416, 1
CON western_rey Cet,3.045450495815609, 1
#CON macedonian 016,3.045181321986371, 10
CON blackfoot 004,3.045181321986371, 2
CON arabic_ancient 1499,3.045181321986371, 3
CON ruelle CrB,3.045181321986371, 1
CON romanian Hra,3.045181321986371, 1
CON chinese 087,3.045181321986371, 1
CON arabic_al-sufi Cep,3.0446764753361255, 1
CON boorong Kul,3.0443520737728273, 1
CON western_rey Hya,3.0439960273580775, 1
CON western_hlad Mon,3.04283785535695, 1
CON korean 058,3.0425014471937994, 1
CON chinese 016,3.0425014471937994, 1
CON chinese 228,3.0416914333090954, 1
CON western_rey Cyg,3.0406852678312983, 1
CON ruelle Crt,3.039404936036012, 1
CON chinese 313,3.0391034438243585, 1
CON chinese_contemporary CMa,3.038723880306985, 1
CON western_rey CMa,3.038723880306985, 1
CON korean 065,3.037458268452238, 2
CON egyptian 013,3.0368184747970406, 1
CON anutan 010,3.0368184747970406, 1
CON chinese 080,3.0341375742527483, 1
CON western Her,3.0339783422190525, 1
CON chinese_contemporary Her,3.0339783422190525, 1
CON western_hlad Her,3.0339783422190525, 1
CON romanian Omu,3.0339783422190525, 1
CON korean 108,3.0338780238806278, 1
CON western CMa,3.0337497876624018, 1
CON boorong Ydk,3.033465164569584, 1
CON tongan 008,3.0329831829572624, 1
CON western_rey Lyr,3.0312002475056197, 1
CON chinese 278,3.0310040029645617, 1
CON chinese 072,3.0299210691260035, 1
CON tongan 007,3.0290135005325776, 1
CON chinese 284,3.0284240450577826, 1
CON chinese 262,3.028154912702295, 1
CON korean 179,3.027904174133022, 1
CON western_hlad Cep,3.0278700734977875, 1
CON western_rey Cep,3.0277862168776846, 1
CON western_SnT Cep,3.0277862168776846, 1
CON western_SnT Cyg,3.026663003226667, 1
CON romanian Gem,3.0257191584824703, 1
CON arabic_al-sufi And,3.0252294322344495, 1
CON tupi 006,3.024954729640315, 1
CON korean 248,3.0245880161699916, 1
CON korean 094,3.0241705828754077, 1
CON western Ser,3.0238725202614996, 2
CON arabic_al-sufi Ser,3.022202410585218, 1
CON navajo 002,3.0215733505050424, 1
CON chinese 094,3.021202637891711, 1
CON bugis 002,3.020903333823516, 1
CON chinese 209,3.017317361591347, 1
CON arabic_ancient 4199,3.0163002130258154, 1
CON western_rey Ari,3.0158514190746564, 1
CON arabic_al-sufi Sge,3.015547460315445, 1
CON chinese 156,3.015097404484646, 1
CON western Cen,3.0145439330523383, 2
CON western_rey LMi,3.0129442315665083, 2
CON arabic_al-sufi Leo,3.0107450141360985, 1
CON tukano 008,3.010402174043801, 1
#CON arabic_arabian_peninsula 4202,3.010402174043801, 15
CON arabic_arabian_peninsula 4299,3.010402174043801, 1
CON hawaiian_starlines KHK,3.010402174043801, 1
CON korean 149,3.010402174043801, 2
CON siberian Kic,3.010402174043801, 1
CON western_hlad Ori,3.010402174043801, 1
CON japanese_moon_stations 21,3.010402174043801, 1
CON romanian Rar,3.010402174043801, 1
CON romanian Sfm,3.010402174043801, 1
CON bugis 008,3.010402174043801, 1
CON chinese 277,3.009644476023679, 1
CON arabic_al-sufi Cas,3.0094177079341393, 1
CON chinese 081,3.0094177079341393, 1
CON chinese 130,3.0079617671645913, 1
CON korean 034,3.0066027885644733, 1
CON chinese 229,3.0066027885644733, 1
CON boorong Otc,3.005793520795341, 1
CON western PsA,3.0055975420860377, 2
#CON indian N22,3.005450143122296, 7
CON western_hlad Aql,3.005450143122296, 1
CON boorong Tot,3.005450143122296, 1
CON chinese 118,3.005421089691841, 1
CON korean 050,3.0044434030951432, 1
CON western CrA,3.0044434030951432, 2
CON chinese 029,3.002728545078647, 1
CON korean 060,3.0024245804508323, 1
CON korean 190,3.0022487127210504, 1
CON northern_andes 005,3.0019004254773023, 1
CON romanian Sec,3.0014540902547604, 1
CON northern_andes 004,3.0004629378980616, 1
CON korean 203,2.9983855353089366, 1
CON western_hlad Oct,2.99755434465491, 1
CON mandar 001,2.997025815531644, 1
CON western Ara,2.996686346411914, 2
CON korean 159,2.996463435835422, 1
CON western Gem,2.996463435835422, 4
CON western_rey Gem,2.996463435835422, 1
CON chinese 269,2.996463435835422, 1
CON arabic_ancient 2005,2.995147392742034, 1
CON arabic_ancient 2008,2.9947707919110482, 1
CON western Lac,2.994768636345237, 2
CON chinese 091,2.9933929950051463, 1
CON northern_andes 002,2.992531016737246, 1
CON korean 106,2.9917203732518427, 1
CON boorong Yur,2.9915848530514078, 1
CON korean 241,2.9913642138429144, 1
CON arabic_ancient 1099,2.99017413663115, 1
CON tukano 007,2.9878640257165827, 3
CON sardinian 001,2.9878640257165827, 1
CON korean 199,2.987659550395008, 1
CON ruelle Vir,2.9870937569065785, 1
CON belarusian 012,2.9862874535944934, 1
CON western_rey Car,2.986105792928359, 1
CON chinese 263,2.9855338231579482, 1
CON ruelle Lac,2.9847024268355415, 1
CON boorong Ktc,2.984499532098901, 1
CON korean 011,2.9841777956915525, 1
CON western_hlad Tuc,2.982935704497301, 2
