Constellation, Max Continuation, Same Constellations Accross Cultures 
CON chinese 318,3.7339538832802797, 1
CON western_rey Del,3.7714925480193653, 1
CON romanian Sar,3.786827385564484, 1
CON arabic_al-sufi Ori,3.7966008117051318, 1
CON western_SnT Gru,3.8147357996577584, 1
CON boorong Ktc,3.863439936486566, 1
CON northern_andes 004,3.9403997991073956, 1
CON arabic_al-sufi Eri,4.000233840599569, 1
CON korean 146,4.040584634449689, 1
CON indian N03,4.062390691028243, 1
CON chinese 016,4.06700967830753, 1
CON western Lup,4.099214667983535, 2
CON egyptian 013,4.137425271155551, 1
CON western_SnT Lup,4.267551410599868, 1
CON western_rey Phe,4.285003397594517, 1
CON ruelle CarPupVel,4.351181906321497, 1
CON western CMa,4.4530337195843686, 1
CON chinese_contemporary CMa,4.4530337195843686, 1
CON western_rey CMa,4.4530337195843686, 1
CON western_SnT CMa,4.4530337195843686, 1
CON tupi 001,4.460810325967064, 1
CON arabic_al-sufi Cyg,4.9718743492945245, 1
CON anutan 010,5.344443254980331, 1
