Constellation, Max Equal Spacing, Same Constellations Accross Cultures 
CON korean 033,0.08013109214433423, 1
CON hawaiian_starlines LUP,0.08026589285947583, 1
CON western_hlad Sex,0.0818023839973358, 1
CON chinese 195,0.08238338971784487, 1
CON western_rey LMi,0.08288191421003727, 2
CON arabic_arabian_peninsula 2808,0.08348700138345344, 3
CON western_hlad Vir,0.08348700138345344, 1
CON chinese 265,0.08349590457460737, 1
CON korean 184,0.08455107490799568, 1
CON bugis 010,0.08496339045420065, 1
CON belarusian 012,0.08502749145242033, 1
CON western_hlad Hyi,0.0851192515787994, 2
CON korean 241,0.08517854173129585, 1
CON western Lac,0.08524316027723594, 2
CON tupi 006,0.0856483311563514, 1
CON western_hlad Sct,0.08589170499944232, 1
CON korean 237,0.08731860010876791, 1
CON western_rey Sct,0.08761171744644997, 2
CON chinese 153,0.08813130615945441, 1
CON korean 064,0.08821055316789589, 1
CON korean 217,0.08849606032199125, 1
CON chinese 145,0.08905147119657358, 1
CON western_rey Dor,0.08926260409227887, 2
CON western Aur,0.08974039310416287, 4
CON japanese_moon_stations 22,0.09038224628236657, 1
CON korean 161,0.09061834713417954, 2
CON arabic_ancient 4207,0.09061834713417954, 1
CON korean 164,0.09070516141636303, 1
CON ruelle Psc,0.09264963731697745, 1
CON ruelle Vul,0.09321868592608012, 1
CON japanese_moon_stations 03,0.0934949391149652, 1
CON western Lib,0.09439755686109952, 2
CON chinese 256,0.09485623813658761, 1
CON chinese 286,0.09658832601439288, 1
CON arabic_ancient 4199,0.0975920779192666, 1
CON western Cha,0.09782476909664617, 2
CON korean 187,0.09919982379446846, 1
CON western_hlad Nor,0.09940486175242436, 3
CON korean 216,0.09958807155331684, 1
CON chinese 208,0.09958807155331684, 1
CON chinese 088,0.10007326175529091, 1
CON western Nor,0.10084043179046787, 2
CON korean 057,0.10103885828666326, 1
CON western_hlad Ant,0.10154666644455407, 2
CON boorong War,0.10213984775263063, 1
CON western_hlad Ara,0.10295814116197916, 1
CON chinese 141,0.10414501044466173, 1
CON korean 198,0.10438815565678122, 1
CON blackfoot 004,0.10458967435657501, 2
CON korean 023,0.10582873525148229, 1
CON chinese 302,0.10631913824044137, 1
CON western_rey Mus,0.1072620235138031, 1
CON chinese 139,0.10741267981299724, 1
CON western_hlad Mus,0.1076313829576791, 1
CON korean 195,0.10823787745189567, 1
CON arabic_al-sufi Cas,0.10866562284896525, 1
CON western_hlad LMi,0.10869468940446814, 1
CON korean 180,0.1087564284052503, 1
CON western And,0.11088655235963707, 3
CON romanian Jgb,0.11088655235963707, 1
CON korean 167,0.11127771107626827, 1
CON korean 212,0.11158249608834087, 1
#CON macedonian 016,0.11159103394508235, 10
CON arabic_ancient 1499,0.11159103394508235, 3
CON chinese 087,0.11159103394508235, 1
CON boorong Krk,0.11159145835544199, 1
CON chinese 147,0.1117526436312053, 1
CON arabic_ancient 0799,0.11190640021164588, 2
CON western_rey DraH,0.11225846002967271, 1
CON western Cnc,0.11284416672822739, 2
CON western_rey Cnc,0.11284416672822739, 1
CON mongolian 004,0.11450373128620639, 1
CON korean 062,0.11594313659520011, 1
CON egyptian 025,0.11638058418081831, 1
CON korean 105,0.11662253748117218, 1
CON arabic_ancient 4205,0.11718089426978678, 1
CON chinese 232,0.11749518082316973, 1
CON korean 097,0.1179683974930455, 2
CON arabic_ancient 5199,0.11915472550008865, 1
CON western_hlad Crt,0.11915472550008865, 1
CON western_SnT Crt,0.11915472550008865, 1
CON chinese 037,0.11919863997173286, 1
CON korean 080,0.11983787812303426, 2
CON korean 037,0.11988737967853536, 1
CON western Vol,0.1204230768502021, 2
CON western_rey Vol,0.1204230768502021, 1
CON macedonian 003,0.1209700712473134, 1
CON chinese 120,0.12235115711099959, 1
CON korean 159,0.1225362557014803, 1
CON chinese 269,0.1225362557014803, 1
CON western LMi,0.12263607902129658, 2
CON arabic_ancient 4799,0.1227889205621212, 1
CON chinese 089,0.12402631053820085, 1
CON egyptian 015,0.12407795706714292, 1
CON chinese 255,0.12433951310488067, 1
CON korean 059,0.1253075133752115, 1
CON chinese 054,0.1259481483788809, 1
CON arabic_ancient 2703,0.12613360132424617, 1
CON arabic_ancient 2799,0.12613360132424617, 1
CON western_hlad For,0.12615187727849325, 2
CON western_rey Del,0.12619836293299863, 1
CON korean 199,0.12707860960824852, 1
CON korean 145,0.12730707870947933, 1
CON korean 200,0.12733461685991027, 1
CON korean 040,0.1283660269039671, 2
CON korean 244,0.12877938845599607, 2
CON chinese 033,0.1294965345743988, 1
CON korean 034,0.1296527144362417, 1
CON macedonian 019,0.12967663352247993, 1
CON tukano 010,0.12994333520761198, 2
CON mandar 001,0.12994333520761198, 1
CON chinese 016,0.13090997028925505, 1
CON korean 106,0.1313536120516638, 1
CON arabic_arabian_peninsula 3005,0.13178606645948432, 3
CON western_hlad Tau,0.13191593090493725, 1
CON tupi 007,0.13191593090493725, 1
CON korean 016,0.132038959524857, 1
CON arabic_arabian_peninsula 4201,0.13237820106616155, 3
CON korean 172,0.13237820106616155, 2
CON chinese 034,0.13237820106616155, 1
CON western_rey Cam,0.13399298777725616, 1
CON chinese 292,0.13404371143955146, 1
CON ruelle Aur,0.13438223480609662, 1
CON western_rey Crv,0.13480850596594313, 1
CON aztec 004,0.1348456314177342, 1
CON ruelle Tuc,0.13498655432975332, 1
CON japanese_moon_stations 12,0.13549701165946426, 1
